Table	Table Title	Table Description	Indicator	Units	Year	Area	Age group	Location	Sex	Wealth quintile	Value	Number of children	FN
Table 2.11	Children’s living arrangements and orphanhood	Percent distribution of de jure children under age 18 by living arrangements and survival status of parents, the percentage of children not living with a biological parent, and the percentage of children with one or both parents dead, according to background characteristics, Kenya 2014	Percent distribution of de jure children under age 18 with one or both parents dead	Percent	2014	Kenya	<5 years	Total	Total	Total	3.4	19954	Includes children with father dead, mother dead, both dead and one parent dead but missing information on survival status of the other parent.
Table 2.11	Children’s living arrangements and orphanhood	Percent distribution of de jure children under age 18 by living arrangements and survival status of parents, the percentage of children not living with a biological parent, and the percentage of children with one or both parents dead, according to background characteristics, Kenya 2014	Percent distribution of de jure children under age 18 with one or both parents dead	Percent	2014	Kenya	<2 years	Total	Total	Total	2	7662	Includes children with father dead, mother dead, both dead and one parent dead but missing information on survival status of the other parent.
Table 2.11	Children’s living arrangements and orphanhood	Percent distribution of de jure children under age 18 by living arrangements and survival status of parents, the percentage of children not living with a biological parent, and the percentage of children with one or both parents dead, according to background characteristics, Kenya 2014	Percent distribution of de jure children under age 18 with one or both parents dead	Percent	2014	Kenya	2-4 years	Total	Total	Total	4.2	12291	Includes children with father dead, mother dead, both dead and one parent dead but missing information on survival status of the other parent.
Table 2.11	Children’s living arrangements and orphanhood	Percent distribution of de jure children under age 18 by living arrangements and survival status of parents, the percentage of children not living with a biological parent, and the percentage of children with one or both parents dead, according to background characteristics, Kenya 2014	Percent distribution of de jure children under age 18 with one or both parents dead	Percent	2014	Kenya	5-9 years	Total	Total	Total	8.2	21331	Includes children with father dead, mother dead, both dead and one parent dead but missing information on survival status of the other parent.
Table 2.11	Children’s living arrangements and orphanhood	Percent distribution of de jure children under age 18 by living arrangements and survival status of parents, the percentage of children not living with a biological parent, and the percentage of children with one or both parents dead, according to background characteristics, Kenya 2014	Percent distribution of de jure children under age 18 with one or both parents dead	Percent	2014	Kenya	10-14 years	Total	Total	Total	14.5	19914	Includes children with father dead, mother dead, both dead and one parent dead but missing information on survival status of the other parent.
Table 2.11	Children’s living arrangements and orphanhood	Percent distribution of de jure children under age 18 by living arrangements and survival status of parents, the percentage of children not living with a biological parent, and the percentage of children with one or both parents dead, according to background characteristics, Kenya 2014	Percent distribution of de jure children under age 18 with one or both parents dead	Percent	2014	Kenya	15-17 years	Total	Total	Total	18.7	9058	Includes children with father dead, mother dead, both dead and one parent dead but missing information on survival status of the other parent.
Table 2.11	Children’s living arrangements and orphanhood	Percent distribution of de jure children under age 18 by living arrangements and survival status of parents, the percentage of children not living with a biological parent, and the percentage of children with one or both parents dead, according to background characteristics, Kenya 2014	Percent distribution of de jure children under age 18 with one or both parents dead	Percent	2014	Kenya	<18 years	Total	Male	Total	9.8	35442	Includes children with father dead, mother dead, both dead and one parent dead but missing information on survival status of the other parent.
Table 2.11	Children’s living arrangements and orphanhood	Percent distribution of de jure children under age 18 by living arrangements and survival status of parents, the percentage of children not living with a biological parent, and the percentage of children with one or both parents dead, according to background characteristics, Kenya 2014	Percent distribution of de jure children under age 18 with one or both parents dead	Percent	2014	Kenya	<18 years	Total	Female	Total	10.1	34815	Includes children with father dead, mother dead, both dead and one parent dead but missing information on survival status of the other parent.
Table 2.11	Children’s living arrangements and orphanhood	Percent distribution of de jure children under age 18 by living arrangements and survival status of parents, the percentage of children not living with a biological parent, and the percentage of children with one or both parents dead, according to background characteristics, Kenya 2014	Percent distribution of de jure children under age 18 with one or both parents dead	Percent	2014	Kenya	<18 years	Urban	Total	Total	8.6	20440	Includes children with father dead, mother dead, both dead and one parent dead but missing information on survival status of the other parent.
Table 2.11	Children’s living arrangements and orphanhood	Percent distribution of de jure children under age 18 by living arrangements and survival status of parents, the percentage of children not living with a biological parent, and the percentage of children with one or both parents dead, according to background characteristics, Kenya 2014	Percent distribution of de jure children under age 18 with one or both parents dead	Percent	2014	Kenya	<18 years	Rural	Total	Total	10.5	49817	Includes children with father dead, mother dead, both dead and one parent dead but missing information on survival status of the other parent.
