Table	Table Title	Table Description	Indicator	Units	Year	Area	Age group	Location	Sex	Wealth quintile	Dimension	LivingArrangementsAndSurvivalStatusOfParents_LivingWithBothParents	LivingArrangementsAndSurvivalStatusOfParents_LivingWithMotherButNotWithFather(FatherAlive)	LivingArrangementsAndSurvivalStatusOfParents_LivingWithMohterButNotWithFather(FatherDead)	LivingArrangementsAndSurvivalStatusOfParents_LivingWithFatherButNotWithMother(MotherAlive)	LivingArrangementsAndSurvivalStatusOfParents_LivingWithFatherButNotWithMother(MotherDead)	LivingArrangementsAndSurvivalStatusOfParents_NotLivingWithEitherParent(BothAlive)	LivingArrangementsAndSurvivalStatusOfParents_NotLivingWithEitherParent(OnlyFatherAlive)	LivingArrangementsAndSurvivalStatusOfParents_NotLivingWithEitherParent(OnlyMotherAlive)	LivingArrangementsAndSurvivalStatusOfParents_NotLivingWithEitherParent(BothDead)	LivingArrangementsAndSurvivalStatusOfParents_NotLivingWithEitherParent(MissingInformationOnFather/Mother)	Total	FN
Table 2.11	Children’s living arrangements and orphanhood	Percent distribution of de jure children under age 18 by living arrangements and survival status of parents, the percentage of children not living with a biological parent, and the percentage of children with one or both parents dead, according to background characteristics, Kenya 2014	Percent distribution of de jure children under age 18 by living arrangements and survival status of parents	Percent	2014	Kenya	<5 years	Total	Total	Total	LivingArrangementsAndSurvivalStatusOfParents	63.8	25.1	2.2	0.9	0.2	5.2	0.4	0.4	0.1	1.6	100	
Table 2.11	Children’s living arrangements and orphanhood	Percent distribution of de jure children under age 18 by living arrangements and survival status of parents, the percentage of children not living with a biological parent, and the percentage of children with one or both parents dead, according to background characteristics, Kenya 2014	Percent distribution of de jure children under age 18 by living arrangements and survival status of parents	Percent	2014	Kenya	<2 years	Total	Total	Total	LivingArrangementsAndSurvivalStatusOfParents	67	27.6	1.7	0.3	0	1.9	0.2	0.1	0	1.2	100	
Table 2.11	Children’s living arrangements and orphanhood	Percent distribution of de jure children under age 18 by living arrangements and survival status of parents, the percentage of children not living with a biological parent, and the percentage of children with one or both parents dead, according to background characteristics, Kenya 2014	Percent distribution of de jure children under age 18 by living arrangements and survival status of parents	Percent	2014	Kenya	2-4 years	Total	Total	Total	LivingArrangementsAndSurvivalStatusOfParents	61.8	23.6	2.5	1.2	0.2	7.3	0.5	0.6	0.2	1.9	100	
Table 2.11	Children’s living arrangements and orphanhood	Percent distribution of de jure children under age 18 by living arrangements and survival status of parents, the percentage of children not living with a biological parent, and the percentage of children with one or both parents dead, according to background characteristics, Kenya 2014	Percent distribution of de jure children under age 18 by living arrangements and survival status of parents	Percent	2014	Kenya	5-9 years	Total	Total	Total	LivingArrangementsAndSurvivalStatusOfParents	55.6	21.4	4.5	2.7	0.6	10.4	0.8	1.2	0.9	1.9	100	
Table 2.11	Children’s living arrangements and orphanhood	Percent distribution of de jure children under age 18 by living arrangements and survival status of parents, the percentage of children not living with a biological parent, and the percentage of children with one or both parents dead, according to background characteristics, Kenya 2014	Percent distribution of de jure children under age 18 by living arrangements and survival status of parents	Percent	2014	Kenya	10-14 years	Total	Total	Total	LivingArrangementsAndSurvivalStatusOfParents	49.1	20.3	7.4	3.2	1.2	11.3	1.4	2.2	1.9	2	100	
Table 2.11	Children’s living arrangements and orphanhood	Percent distribution of de jure children under age 18 by living arrangements and survival status of parents, the percentage of children not living with a biological parent, and the percentage of children with one or both parents dead, according to background characteristics, Kenya 2014	Percent distribution of de jure children under age 18 by living arrangements and survival status of parents	Percent	2014	Kenya	15-17 years	Total	Total	Total	LivingArrangementsAndSurvivalStatusOfParents	44.1	17.8	9.1	3.6	1.7	13.1	1.6	3	2.9	3	100	
Table 2.11	Children’s living arrangements and orphanhood	Percent distribution of de jure children under age 18 by living arrangements and survival status of parents, the percentage of children not living with a biological parent, and the percentage of children with one or both parents dead, according to background characteristics, Kenya 2014	Percent distribution of de jure children under age 18 by living arrangements and survival status of parents	Percent	2014	Kenya	<18 years	Total	Male	Total	LivingArrangementsAndSurvivalStatusOfParents	54.5	21.9	5.2	2.9	0.9	9.1	0.8	1.5	1.2	1.9	100	
Table 2.11	Children’s living arrangements and orphanhood	Percent distribution of de jure children under age 18 by living arrangements and survival status of parents, the percentage of children not living with a biological parent, and the percentage of children with one or both parents dead, according to background characteristics, Kenya 2014	Percent distribution of de jure children under age 18 by living arrangements and survival status of parents	Percent	2014	Kenya	<18 years	Total	Female	Total	LivingArrangementsAndSurvivalStatusOfParents	54.6	21.5	5.3	2	0.7	9.9	1.1	1.5	1.3	2.1	100	
Table 2.11	Children’s living arrangements and orphanhood	Percent distribution of de jure children under age 18 by living arrangements and survival status of parents, the percentage of children not living with a biological parent, and the percentage of children with one or both parents dead, according to background characteristics, Kenya 2014	Percent distribution of de jure children under age 18 by living arrangements and survival status of parents	Percent	2014	Kenya	<18 years	Urban	Total	Total	LivingArrangementsAndSurvivalStatusOfParents	58.6	20.5	4.2	2.5	0.8	7.7	0.9	1.4	1.3	2.2	100	
Table 2.11	Children’s living arrangements and orphanhood	Percent distribution of de jure children under age 18 by living arrangements and survival status of parents, the percentage of children not living with a biological parent, and the percentage of children with one or both parents dead, according to background characteristics, Kenya 2014	Percent distribution of de jure children under age 18 by living arrangements and survival status of parents	Percent	2014	Kenya	<18 years	Rural	Total	Total	LivingArrangementsAndSurvivalStatusOfParents	52.9	22.2	5.7	2.4	0.8	10.3	1	1.5	1.2	1.9	100	
