Table	Table Title	Table Description	Indicator	Units	Year	Area	Location	Dimension	WealthQuintile_Lowest	WealthQuintile_Second	WealthQuintile_Middle	WealthQuintile_Fourth	WealthQuintile_Highest	Total	GiniCoefficient	FN
Table 2.5	Wealth quintiles	Percent distribution of the de jure population by wealth quintiles, and the Gini Coefficient, according to residence and region, Kenya 2014	Percent distribution of the de jure population by wealth quintiles	Percent	2014	Kenya	Urban	Wealth quintile	6.0	8.3	10.6	26.1	49.0	100	0.18	
Table 2.5	Wealth quintiles	Percent distribution of the de jure population by wealth quintiles, and the Gini Coefficient, according to residence and region, Kenya 2014	Percent distribution of the de jure population by wealth quintiles	Percent	2014	Kenya	Rural	Wealth quintile	27.3	26.1	24.9	16.8	4.9	100	0.19	
Table 2.5	Wealth quintiles	Percent distribution of the de jure population by wealth quintiles, and the Gini Coefficient, according to residence and region, Kenya 2014	Percent distribution of the de jure population by wealth quintiles	Percent	2014	Kenya	Total	Wealth quintile	20.0	20.0	20.0	20.0	20.0	100	0.27	
Table 2.5	Wealth quintiles	Percent distribution of the de jure population by wealth quintiles, and the Gini Coefficient, according to residence and region, Kenya 2014	Percent distribution of the de jure population by wealth quintiles	Percent	2014	Coast	Total	Wealth quintile	40.0	10.4	10.6	14.5	24.5	100	0.34	
Table 2.5	Wealth quintiles	Percent distribution of the de jure population by wealth quintiles, and the Gini Coefficient, according to residence and region, Kenya 2014	Percent distribution of the de jure population by wealth quintiles	Percent	2014	North Eastern	Total	Wealth quintile	72.9	4.5	4.5	9.0	9.1	100	0.36	
Table 2.5	Wealth quintiles	Percent distribution of the de jure population by wealth quintiles, and the Gini Coefficient, according to residence and region, Kenya 2014	Percent distribution of the de jure population by wealth quintiles	Percent	2014	Eastern	Total	Wealth quintile	19.5	27.7	22.4	19.7	10.7	100	0.21	
Table 2.5	Wealth quintiles	Percent distribution of the de jure population by wealth quintiles, and the Gini Coefficient, according to residence and region, Kenya 2014	Percent distribution of the de jure population by wealth quintiles	Percent	2014	Central	Total	Wealth quintile	2.4	12.0	21.9	32.0	31.7	100	0.21	
Table 2.5	Wealth quintiles	Percent distribution of the de jure population by wealth quintiles, and the Gini Coefficient, according to residence and region, Kenya 2014	Percent distribution of the de jure population by wealth quintiles	Percent	2014	Rift Valley	Total	Wealth quintile	26.5	20.2	19.7	19.1	14.5	100	0.29	
Table 2.5	Wealth quintiles	Percent distribution of the de jure population by wealth quintiles, and the Gini Coefficient, according to residence and region, Kenya 2014	Percent distribution of the de jure population by wealth quintiles	Percent	2014	Western	Total	Wealth quintile	12.3	30.9	33.8	16.8	6.2	100	0.2	
Table 2.5	Wealth quintiles	Percent distribution of the de jure population by wealth quintiles, and the Gini Coefficient, according to residence and region, Kenya 2014	Percent distribution of the de jure population by wealth quintiles	Percent	2014	Nyanza	Total	Wealth quintile	16.6	31.2	23.8	17.5	10.9	100	0.28	
Table 2.5	Wealth quintiles	Percent distribution of the de jure population by wealth quintiles, and the Gini Coefficient, according to residence and region, Kenya 2014	Percent distribution of the de jure population by wealth quintiles	Percent	2014	Nairobi	Total	Wealth quintile	0.2	0.8	6.0	25.6	67.4	100	0.15	
