Table	Table Title	Table Description	Indicator	Units	Year	Area	Age group	Location	Sex	Wealth quintile	Value	FN
Table 2.11	Children’s living arrangements and orphanhood	Percent distribution of de jure children under age 18 by living arrangements and survival status of parents, the percentage of children not living with a biological parent, and the percentage of children with one or both parents dead, according to background characteristics, Kenya 2014	Percent distribution of de jure children under age 18 not living with a biological parent	Percent	2014	Kenya	<5 years	Total	Total	Total	6.2	
Table 2.11	Children’s living arrangements and orphanhood	Percent distribution of de jure children under age 18 by living arrangements and survival status of parents, the percentage of children not living with a biological parent, and the percentage of children with one or both parents dead, according to background characteristics, Kenya 2014	Percent distribution of de jure children under age 18 not living with a biological parent	Percent	2014	Kenya	<2 years	Total	Total	Total	2.2	
Table 2.11	Children’s living arrangements and orphanhood	Percent distribution of de jure children under age 18 by living arrangements and survival status of parents, the percentage of children not living with a biological parent, and the percentage of children with one or both parents dead, according to background characteristics, Kenya 2014	Percent distribution of de jure children under age 18 not living with a biological parent	Percent	2014	Kenya	2-4 years	Total	Total	Total	8.7	
Table 2.11	Children’s living arrangements and orphanhood	Percent distribution of de jure children under age 18 by living arrangements and survival status of parents, the percentage of children not living with a biological parent, and the percentage of children with one or both parents dead, according to background characteristics, Kenya 2014	Percent distribution of de jure children under age 18 not living with a biological parent	Percent	2014	Kenya	5-9 years	Total	Total	Total	13.3	
Table 2.11	Children’s living arrangements and orphanhood	Percent distribution of de jure children under age 18 by living arrangements and survival status of parents, the percentage of children not living with a biological parent, and the percentage of children with one or both parents dead, according to background characteristics, Kenya 2014	Percent distribution of de jure children under age 18 not living with a biological parent	Percent	2014	Kenya	10-14 years	Total	Total	Total	16.8	
Table 2.11	Children’s living arrangements and orphanhood	Percent distribution of de jure children under age 18 by living arrangements and survival status of parents, the percentage of children not living with a biological parent, and the percentage of children with one or both parents dead, according to background characteristics, Kenya 2014	Percent distribution of de jure children under age 18 not living with a biological parent	Percent	2014	Kenya	15-17 years	Total	Total	Total	20.6	
Table 2.11	Children’s living arrangements and orphanhood	Percent distribution of de jure children under age 18 by living arrangements and survival status of parents, the percentage of children not living with a biological parent, and the percentage of children with one or both parents dead, according to background characteristics, Kenya 2014	Percent distribution of de jure children under age 18 not living with a biological parent	Percent	2014	Kenya	<18 years	Total	Male	Total	12.6	
Table 2.11	Children’s living arrangements and orphanhood	Percent distribution of de jure children under age 18 by living arrangements and survival status of parents, the percentage of children not living with a biological parent, and the percentage of children with one or both parents dead, according to background characteristics, Kenya 2014	Percent distribution of de jure children under age 18 not living with a biological parent	Percent	2014	Kenya	<18 years	Total	Female	Total	13.8	
Table 2.11	Children’s living arrangements and orphanhood	Percent distribution of de jure children under age 18 by living arrangements and survival status of parents, the percentage of children not living with a biological parent, and the percentage of children with one or both parents dead, according to background characteristics, Kenya 2014	Percent distribution of de jure children under age 18 not living with a biological parent	Percent	2014	Kenya	<18 years	Urban	Total	Total	11.2	
Table 2.11	Children’s living arrangements and orphanhood	Percent distribution of de jure children under age 18 by living arrangements and survival status of parents, the percentage of children not living with a biological parent, and the percentage of children with one or both parents dead, according to background characteristics, Kenya 2014	Percent distribution of de jure children under age 18 not living with a biological parent	Percent	2014	Kenya	<18 years	Rural	Total	Total	14	
Table 2.11	Children’s living arrangements and orphanhood	Percent distribution of de jure children under age 18 by living arrangements and survival status of parents, the percentage of children not living with a biological parent, and the percentage of children with one or both parents dead, according to background characteristics, Kenya 2014	Percent distribution of de jure children under age 18 not living with a biological parent	Percent	2014	Coast	<18 years	Total	Total	Total	11.4	
Table 2.11	Children’s living arrangements and orphanhood	Percent distribution of de jure children under age 18 by living arrangements and survival status of parents, the percentage of children not living with a biological parent, and the percentage of children with one or both parents dead, according to background characteristics, Kenya 2014	Percent distribution of de jure children under age 18 not living with a biological parent	Percent	2014	North Eastern	<18 years	Total	Total	Total	12	
Table 2.11	Children’s living arrangements and orphanhood	Percent distribution of de jure children under age 18 by living arrangements and survival status of parents, the percentage of children not living with a biological parent, and the percentage of children with one or both parents dead, according to background characteristics, Kenya 2014	Percent distribution of de jure children under age 18 not living with a biological parent	Percent	2014	Eastern	<18 years	Total	Total	Total	11.4	
Table 2.11	Children’s living arrangements and orphanhood	Percent distribution of de jure children under age 18 by living arrangements and survival status of parents, the percentage of children not living with a biological parent, and the percentage of children with one or both parents dead, according to background characteristics, Kenya 2014	Percent distribution of de jure children under age 18 not living with a biological parent	Percent	2014	Central	<18 years	Total	Total	Total	8.4	
Table 2.11	Children’s living arrangements and orphanhood	Percent distribution of de jure children under age 18 by living arrangements and survival status of parents, the percentage of children not living with a biological parent, and the percentage of children with one or both parents dead, according to background characteristics, Kenya 2014	Percent distribution of de jure children under age 18 not living with a biological parent	Percent	2014	Rift Valley	<18 years	Total	Total	Total	12.3	
Table 2.11	Children’s living arrangements and orphanhood	Percent distribution of de jure children under age 18 by living arrangements and survival status of parents, the percentage of children not living with a biological parent, and the percentage of children with one or both parents dead, according to background characteristics, Kenya 2014	Percent distribution of de jure children under age 18 not living with a biological parent	Percent	2014	Western	<18 years	Total	Total	Total	21	
Table 2.11	Children’s living arrangements and orphanhood	Percent distribution of de jure children under age 18 by living arrangements and survival status of parents, the percentage of children not living with a biological parent, and the percentage of children with one or both parents dead, according to background characteristics, Kenya 2014	Percent distribution of de jure children under age 18 not living with a biological parent	Percent	2014	Nyanza	<18 years	Total	Total	Total	17.2	
Table 2.11	Children’s living arrangements and orphanhood	Percent distribution of de jure children under age 18 by living arrangements and survival status of parents, the percentage of children not living with a biological parent, and the percentage of children with one or both parents dead, according to background characteristics, Kenya 2014	Percent distribution of de jure children under age 18 not living with a biological parent	Percent	2014	Nairobi	<18 years	Total	Total	Total	6.1	
Table 2.11	Children’s living arrangements and orphanhood	Percent distribution of de jure children under age 18 by living arrangements and survival status of parents, the percentage of children not living with a biological parent, and the percentage of children with one or both parents dead, according to background characteristics, Kenya 2014	Percent distribution of de jure children under age 18 not living with a biological parent	Percent	2014	Kenya	<18 years	Total	Total	Lowest	12	
Table 2.11	Children’s living arrangements and orphanhood	Percent distribution of de jure children under age 18 by living arrangements and survival status of parents, the percentage of children not living with a biological parent, and the percentage of children with one or both parents dead, according to background characteristics, Kenya 2014	Percent distribution of de jure children under age 18 not living with a biological parent	Percent	2014	Kenya	<18 years	Total	Total	Second	13.9	
Table 2.11	Children’s living arrangements and orphanhood	Percent distribution of de jure children under age 18 by living arrangements and survival status of parents, the percentage of children not living with a biological parent, and the percentage of children with one or both parents dead, according to background characteristics, Kenya 2014	Percent distribution of de jure children under age 18 not living with a biological parent	Percent	2014	Kenya	<18 years	Total	Total	Middle	15.1	
Table 2.11	Children’s living arrangements and orphanhood	Percent distribution of de jure children under age 18 by living arrangements and survival status of parents, the percentage of children not living with a biological parent, and the percentage of children with one or both parents dead, according to background characteristics, Kenya 2014	Percent distribution of de jure children under age 18 not living with a biological parent	Percent	2014	Kenya	<18 years	Total	Total	Fourth	15	
Table 2.11	Children’s living arrangements and orphanhood	Percent distribution of de jure children under age 18 by living arrangements and survival status of parents, the percentage of children not living with a biological parent, and the percentage of children with one or both parents dead, according to background characteristics, Kenya 2014	Percent distribution of de jure children under age 18 not living with a biological parent	Percent	2014	Kenya	<18 years	Total	Total	Highest	9.7	
Table 2.11	Children’s living arrangements and orphanhood	Percent distribution of de jure children under age 18 by living arrangements and survival status of parents, the percentage of children not living with a biological parent, and the percentage of children with one or both parents dead, according to background characteristics, Kenya 2014	Percent distribution of de jure children under age 18 not living with a biological parent	Percent	2014	Kenya	<15 years	Total	Total	Total	12.1	
Table 2.11	Children’s living arrangements and orphanhood	Percent distribution of de jure children under age 18 by living arrangements and survival status of parents, the percentage of children not living with a biological parent, and the percentage of children with one or both parents dead, according to background characteristics, Kenya 2014	Percent distribution of de jure children under age 18 not living with a biological parent	Percent	2014	Kenya	<18 years	Total	Total	Total	13.2	
