Table	Table Title	Table Description	Indicator	Units	Year	Area	Location	WealthQuintile	Value	FN
Table 2.6 	Food security status	Percent distribution of households with poor, borderline or acceptable food consumption, percentage of households that report lacking food or money to purchase food in the seven days preceding the survey, and the mean coping strategy index, according to background characteristics, Kenya 2014	Percent distribution of households that report lacking food or money to purchase food in the seven days preceding the survey	Percent	2014	Kenya	Urban	Total	23	
Table 2.6 	Food security status	Percent distribution of households with poor, borderline or acceptable food consumption, percentage of households that report lacking food or money to purchase food in the seven days preceding the survey, and the mean coping strategy index, according to background characteristics, Kenya 2014	Percent distribution of households that report lacking food or money to purchase food in the seven days preceding the survey	Percent	2014	Kenya	Rural	Total	36.2	
Table 2.6 	Food security status	Percent distribution of households with poor, borderline or acceptable food consumption, percentage of households that report lacking food or money to purchase food in the seven days preceding the survey, and the mean coping strategy index, according to background characteristics, Kenya 2014	Percent distribution of households that report lacking food or money to purchase food in the seven days preceding the survey	Percent	2014	Kenya	Total	Total	30.7	
Table 2.6 	Food security status	Percent distribution of households with poor, borderline or acceptable food consumption, percentage of households that report lacking food or money to purchase food in the seven days preceding the survey, and the mean coping strategy index, according to background characteristics, Kenya 2014	Percent distribution of households that report lacking food or money to purchase food in the seven days preceding the survey	Percent	2014	Coast	Total	Total	24.5	
Table 2.6 	Food security status	Percent distribution of households with poor, borderline or acceptable food consumption, percentage of households that report lacking food or money to purchase food in the seven days preceding the survey, and the mean coping strategy index, according to background characteristics, Kenya 2014	Percent distribution of households that report lacking food or money to purchase food in the seven days preceding the survey	Percent	2014	North Eastern	Total	Total	37.8	
Table 2.6 	Food security status	Percent distribution of households with poor, borderline or acceptable food consumption, percentage of households that report lacking food or money to purchase food in the seven days preceding the survey, and the mean coping strategy index, according to background characteristics, Kenya 2014	Percent distribution of households that report lacking food or money to purchase food in the seven days preceding the survey	Percent	2014	Eastern	Total	Total	37.5	
Table 2.6 	Food security status	Percent distribution of households with poor, borderline or acceptable food consumption, percentage of households that report lacking food or money to purchase food in the seven days preceding the survey, and the mean coping strategy index, according to background characteristics, Kenya 2014	Percent distribution of households that report lacking food or money to purchase food in the seven days preceding the survey	Percent	2014	Central	Total	Total	17.4	
Table 2.6 	Food security status	Percent distribution of households with poor, borderline or acceptable food consumption, percentage of households that report lacking food or money to purchase food in the seven days preceding the survey, and the mean coping strategy index, according to background characteristics, Kenya 2014	Percent distribution of households that report lacking food or money to purchase food in the seven days preceding the survey	Percent	2014	Rift Valley	Total	Total	25.4	
Table 2.6 	Food security status	Percent distribution of households with poor, borderline or acceptable food consumption, percentage of households that report lacking food or money to purchase food in the seven days preceding the survey, and the mean coping strategy index, according to background characteristics, Kenya 2014	Percent distribution of households that report lacking food or money to purchase food in the seven days preceding the survey	Percent	2014	Western	Total	Total	44.6	
Table 2.6 	Food security status	Percent distribution of households with poor, borderline or acceptable food consumption, percentage of households that report lacking food or money to purchase food in the seven days preceding the survey, and the mean coping strategy index, according to background characteristics, Kenya 2014	Percent distribution of households that report lacking food or money to purchase food in the seven days preceding the survey	Percent	2014	Nyanza	Total	Total	41.9	
Table 2.6 	Food security status	Percent distribution of households with poor, borderline or acceptable food consumption, percentage of households that report lacking food or money to purchase food in the seven days preceding the survey, and the mean coping strategy index, according to background characteristics, Kenya 2014	Percent distribution of households that report lacking food or money to purchase food in the seven days preceding the survey	Percent	2014	Nairobi	Total	Total	29.1	
Table 2.6 	Food security status	Percent distribution of households with poor, borderline or acceptable food consumption, percentage of households that report lacking food or money to purchase food in the seven days preceding the survey, and the mean coping strategy index, according to background characteristics, Kenya 2014	Percent distribution of households that report lacking food or money to purchase food in the seven days preceding the survey	Percent	2014	Kenya	Total	Lowest	54.4	
Table 2.6 	Food security status	Percent distribution of households with poor, borderline or acceptable food consumption, percentage of households that report lacking food or money to purchase food in the seven days preceding the survey, and the mean coping strategy index, according to background characteristics, Kenya 2014	Percent distribution of households that report lacking food or money to purchase food in the seven days preceding the survey	Percent	2014	Kenya	Total	Second	41.6	
Table 2.6 	Food security status	Percent distribution of households with poor, borderline or acceptable food consumption, percentage of households that report lacking food or money to purchase food in the seven days preceding the survey, and the mean coping strategy index, according to background characteristics, Kenya 2014	Percent distribution of households that report lacking food or money to purchase food in the seven days preceding the survey	Percent	2014	Kenya	Total	Middle	32.6	
Table 2.6 	Food security status	Percent distribution of households with poor, borderline or acceptable food consumption, percentage of households that report lacking food or money to purchase food in the seven days preceding the survey, and the mean coping strategy index, according to background characteristics, Kenya 2014	Percent distribution of households that report lacking food or money to purchase food in the seven days preceding the survey	Percent	2014	Kenya	Total	Fourth	21.1	
Table 2.6 	Food security status	Percent distribution of households with poor, borderline or acceptable food consumption, percentage of households that report lacking food or money to purchase food in the seven days preceding the survey, and the mean coping strategy index, according to background characteristics, Kenya 2014	Percent distribution of households that report lacking food or money to purchase food in the seven days preceding the survey	Percent	2014	Kenya	Total	Highest	13	
