Table	Table Title	Table Description	Indicator	Units	Year	Area	Location	WealthQuintile	Dimension	CleansingAgentsAvailability_SoapAndWater	CleansingAgentsAvailability_WaterAndCleansingAgentOtherThanSoapOnly	CleansingAgentsAvailability_WaterOnly	CleansingAgentsAvailability_SoapButNoWater	CleansingAgentsAvailability_CleansingAgentOtherThanSoapOnly	CleansingAgentsAvailability_NoWaterNoSoapNoOtherCleansingAgent	Total	DimensionFN
Table 2.7	Hand washing	Percentage of households in which the place most often used for washing hands was observed, and among households in which the place for washing hands was observed, percent distribution by availability of water, soap and other cleansing agents, Kenya 2014	Percent distribution of households in which the place for washing hands was observed by availability of water, soap and other cleansing agents	Percent	2014	Kenya	Urban	Total	CleansingAgentsAvailability	60.1	0.2	21.8	3.5	0	14.2	100	Soap includes soap or detergent in bar, liquid, powder or paste form. Cleansing agents other than soap include locally available materials such as ash, mud or sand.
Table 2.7	Hand washing	Percentage of households in which the place most often used for washing hands was observed, and among households in which the place for washing hands was observed, percent distribution by availability of water, soap and other cleansing agents, Kenya 2014	Percent distribution of households in which the place for washing hands was observed by availability of water, soap and other cleansing agents	Percent	2014	Kenya	Rural	Total	CleansingAgentsAvailability	37.5	0.1	26	2.7	0.1	33.2	100	Soap includes soap or detergent in bar, liquid, powder or paste form. Cleansing agents other than soap include locally available materials such as ash, mud or sand.
Table 2.7	Hand washing	Percentage of households in which the place most often used for washing hands was observed, and among households in which the place for washing hands was observed, percent distribution by availability of water, soap and other cleansing agents, Kenya 2014	Percent distribution of households in which the place for washing hands was observed by availability of water, soap and other cleansing agents	Percent	2014	Kenya	Total	Total	CleansingAgentsAvailability	49.5	0.2	23.8	3.2	0	23.1	100	Soap includes soap or detergent in bar, liquid, powder or paste form. Cleansing agents other than soap include locally available materials such as ash, mud or sand.
Table 2.7	Hand washing	Percentage of households in which the place most often used for washing hands was observed, and among households in which the place for washing hands was observed, percent distribution by availability of water, soap and other cleansing agents, Kenya 2014	Percent distribution of households in which the place for washing hands was observed by availability of water, soap and other cleansing agents	Percent	2014	Coast	Total	Total	CleansingAgentsAvailability	24.5	0.1	23.2	6	0	45.9	100	Soap includes soap or detergent in bar, liquid, powder or paste form. Cleansing agents other than soap include locally available materials such as ash, mud or sand.
Table 2.7	Hand washing	Percentage of households in which the place most often used for washing hands was observed, and among households in which the place for washing hands was observed, percent distribution by availability of water, soap and other cleansing agents, Kenya 2014	Percent distribution of households in which the place for washing hands was observed by availability of water, soap and other cleansing agents	Percent	2014	North Eastern	Total	Total	CleansingAgentsAvailability	26.5	2.4	18.1	1.7	0	50.7	100	Soap includes soap or detergent in bar, liquid, powder or paste form. Cleansing agents other than soap include locally available materials such as ash, mud or sand.
Table 2.7	Hand washing	Percentage of households in which the place most often used for washing hands was observed, and among households in which the place for washing hands was observed, percent distribution by availability of water, soap and other cleansing agents, Kenya 2014	Percent distribution of households in which the place for washing hands was observed by availability of water, soap and other cleansing agents	Percent	2014	Eastern	Total	Total	CleansingAgentsAvailability	37.5	0	17.4	6.3	0.1	38.4	100	Soap includes soap or detergent in bar, liquid, powder or paste form. Cleansing agents other than soap include locally available materials such as ash, mud or sand.
Table 2.7	Hand washing	Percentage of households in which the place most often used for washing hands was observed, and among households in which the place for washing hands was observed, percent distribution by availability of water, soap and other cleansing agents, Kenya 2014	Percent distribution of households in which the place for washing hands was observed by availability of water, soap and other cleansing agents	Percent	2014	Central	Total	Total	CleansingAgentsAvailability	45.2	0.5	41.7	1.7	0	10.8	100	Soap includes soap or detergent in bar, liquid, powder or paste form. Cleansing agents other than soap include locally available materials such as ash, mud or sand.
Table 2.7	Hand washing	Percentage of households in which the place most often used for washing hands was observed, and among households in which the place for washing hands was observed, percent distribution by availability of water, soap and other cleansing agents, Kenya 2014	Percent distribution of households in which the place for washing hands was observed by availability of water, soap and other cleansing agents	Percent	2014	Rift Valley	Total	Total	CleansingAgentsAvailability	62.4	0.1	20.4	0.9	0	15.8	100	Soap includes soap or detergent in bar, liquid, powder or paste form. Cleansing agents other than soap include locally available materials such as ash, mud or sand.
Table 2.7	Hand washing	Percentage of households in which the place most often used for washing hands was observed, and among households in which the place for washing hands was observed, percent distribution by availability of water, soap and other cleansing agents, Kenya 2014	Percent distribution of households in which the place for washing hands was observed by availability of water, soap and other cleansing agents	Percent	2014	Western	Total	Total	CleansingAgentsAvailability	38.1	0.1	10.3	3.8	0	47.3	100	Soap includes soap or detergent in bar, liquid, powder or paste form. Cleansing agents other than soap include locally available materials such as ash, mud or sand.
Table 2.7	Hand washing	Percentage of households in which the place most often used for washing hands was observed, and among households in which the place for washing hands was observed, percent distribution by availability of water, soap and other cleansing agents, Kenya 2014	Percent distribution of households in which the place for washing hands was observed by availability of water, soap and other cleansing agents	Percent	2014	Nyanza	Total	Total	CleansingAgentsAvailability	51.8	0	25.2	6.1	0.1	16.2	100	Soap includes soap or detergent in bar, liquid, powder or paste form. Cleansing agents other than soap include locally available materials such as ash, mud or sand.
