Table	Table Title	Table Description	Indicator	Units	Year	Area	Location	WealthQuintile	Value	FN
Table 2.6 	Food security status	Percent distribution of households with poor, borderline or acceptable food consumption, percentage of households that report lacking food or money to purchase food in the seven days preceding the survey, and the mean coping strategy index, according to background characteristics, Kenya 2014	Mean coping strategy index	Index	2014	Kenya	Urban	Total	17.4	The coping strategy index measures behaviours adopted by households when they have difficulties in covering their food needs.
Table 2.6 	Food security status	Percent distribution of households with poor, borderline or acceptable food consumption, percentage of households that report lacking food or money to purchase food in the seven days preceding the survey, and the mean coping strategy index, according to background characteristics, Kenya 2014	Mean coping strategy index	Index	2014	Kenya	Rural	Total	19.6	The coping strategy index measures behaviours adopted by households when they have difficulties in covering their food needs.
Table 2.6 	Food security status	Percent distribution of households with poor, borderline or acceptable food consumption, percentage of households that report lacking food or money to purchase food in the seven days preceding the survey, and the mean coping strategy index, according to background characteristics, Kenya 2014	Mean coping strategy index	Index	2014	Kenya	Total	Total	18.9	The coping strategy index measures behaviours adopted by households when they have difficulties in covering their food needs.
Table 2.6 	Food security status	Percent distribution of households with poor, borderline or acceptable food consumption, percentage of households that report lacking food or money to purchase food in the seven days preceding the survey, and the mean coping strategy index, according to background characteristics, Kenya 2014	Mean coping strategy index	Index	2014	Coast	Total	Total	16.1	The coping strategy index measures behaviours adopted by households when they have difficulties in covering their food needs.
Table 2.6 	Food security status	Percent distribution of households with poor, borderline or acceptable food consumption, percentage of households that report lacking food or money to purchase food in the seven days preceding the survey, and the mean coping strategy index, according to background characteristics, Kenya 2014	Mean coping strategy index	Index	2014	North Eastern	Total	Total	15.4	The coping strategy index measures behaviours adopted by households when they have difficulties in covering their food needs.
Table 2.6 	Food security status	Percent distribution of households with poor, borderline or acceptable food consumption, percentage of households that report lacking food or money to purchase food in the seven days preceding the survey, and the mean coping strategy index, according to background characteristics, Kenya 2014	Mean coping strategy index	Index	2014	Eastern	Total	Total	20	The coping strategy index measures behaviours adopted by households when they have difficulties in covering their food needs.
Table 2.6 	Food security status	Percent distribution of households with poor, borderline or acceptable food consumption, percentage of households that report lacking food or money to purchase food in the seven days preceding the survey, and the mean coping strategy index, according to background characteristics, Kenya 2014	Mean coping strategy index	Index	2014	Central	Total	Total	16.7	The coping strategy index measures behaviours adopted by households when they have difficulties in covering their food needs.
Table 2.6 	Food security status	Percent distribution of households with poor, borderline or acceptable food consumption, percentage of households that report lacking food or money to purchase food in the seven days preceding the survey, and the mean coping strategy index, according to background characteristics, Kenya 2014	Mean coping strategy index	Index	2014	Rift Valley	Total	Total	22.1	The coping strategy index measures behaviours adopted by households when they have difficulties in covering their food needs.
Table 2.6 	Food security status	Percent distribution of households with poor, borderline or acceptable food consumption, percentage of households that report lacking food or money to purchase food in the seven days preceding the survey, and the mean coping strategy index, according to background characteristics, Kenya 2014	Mean coping strategy index	Index	2014	Western	Total	Total	17.3	The coping strategy index measures behaviours adopted by households when they have difficulties in covering their food needs.
Table 2.6 	Food security status	Percent distribution of households with poor, borderline or acceptable food consumption, percentage of households that report lacking food or money to purchase food in the seven days preceding the survey, and the mean coping strategy index, according to background characteristics, Kenya 2014	Mean coping strategy index	Index	2014	Nyanza	Total	Total	18.4	The coping strategy index measures behaviours adopted by households when they have difficulties in covering their food needs.
Table 2.6 	Food security status	Percent distribution of households with poor, borderline or acceptable food consumption, percentage of households that report lacking food or money to purchase food in the seven days preceding the survey, and the mean coping strategy index, according to background characteristics, Kenya 2014	Mean coping strategy index	Index	2014	Nairobi	Total	Total	18.3	The coping strategy index measures behaviours adopted by households when they have difficulties in covering their food needs.
Table 2.6 	Food security status	Percent distribution of households with poor, borderline or acceptable food consumption, percentage of households that report lacking food or money to purchase food in the seven days preceding the survey, and the mean coping strategy index, according to background characteristics, Kenya 2014	Mean coping strategy index	Index	2014	Kenya	Total	Lowest	21.7	The coping strategy index measures behaviours adopted by households when they have difficulties in covering their food needs.
Table 2.6 	Food security status	Percent distribution of households with poor, borderline or acceptable food consumption, percentage of households that report lacking food or money to purchase food in the seven days preceding the survey, and the mean coping strategy index, according to background characteristics, Kenya 2014	Mean coping strategy index	Index	2014	Kenya	Total	Second	19.5	The coping strategy index measures behaviours adopted by households when they have difficulties in covering their food needs.
Table 2.6 	Food security status	Percent distribution of households with poor, borderline or acceptable food consumption, percentage of households that report lacking food or money to purchase food in the seven days preceding the survey, and the mean coping strategy index, according to background characteristics, Kenya 2014	Mean coping strategy index	Index	2014	Kenya	Total	Middle	17.4	The coping strategy index measures behaviours adopted by households when they have difficulties in covering their food needs.
Table 2.6 	Food security status	Percent distribution of households with poor, borderline or acceptable food consumption, percentage of households that report lacking food or money to purchase food in the seven days preceding the survey, and the mean coping strategy index, according to background characteristics, Kenya 2014	Mean coping strategy index	Index	2014	Kenya	Total	Fourth	16.3	The coping strategy index measures behaviours adopted by households when they have difficulties in covering their food needs.
Table 2.6 	Food security status	Percent distribution of households with poor, borderline or acceptable food consumption, percentage of households that report lacking food or money to purchase food in the seven days preceding the survey, and the mean coping strategy index, according to background characteristics, Kenya 2014	Mean coping strategy index	Index	2014	Kenya	Total	Highest	16.1	The coping strategy index measures behaviours adopted by households when they have difficulties in covering their food needs.
