Table	Table Title	Table Description	Indicator	Units	Year	Area	AgeGroup	Location	Sex	WealthQuintile	Dimension	PosessionOfBirthCertificate_Yes	PosessionOfBirthCertificate_No	Total	DimensionFN
Table 2.10 	Birth registration of children under age five	Percentage of de jure children under five years of age whose births are registered with the civil authorities, according to background characteristics, Kenya 2014	Percentage of de jure children under five years of age whose births are registered with the civil authorities	Percent	2014	Kenya	<2 years	Total	Total	Total	PosessionOfBirthCertificate	19.8	48.2	68	
Table 2.10 	Birth registration of children under age five	Percentage of de jure children under five years of age whose births are registered with the civil authorities, according to background characteristics, Kenya 2014	Percentage of de jure children under five years of age whose births are registered with the civil authorities	Percent	2014	Kenya	2-4 years	Total	Total	Total	PosessionOfBirthCertificate	26.8	39.4	66.2	
Table 2.10 	Birth registration of children under age five	Percentage of de jure children under five years of age whose births are registered with the civil authorities, according to background characteristics, Kenya 2014	Percentage of de jure children under five years of age whose births are registered with the civil authorities	Percent	2014	Kenya	<5 years	Total	Male	Total	PosessionOfBirthCertificate	24.9	42.5	67.4	
Table 2.10 	Birth registration of children under age five	Percentage of de jure children under five years of age whose births are registered with the civil authorities, according to background characteristics, Kenya 2014	Percentage of de jure children under five years of age whose births are registered with the civil authorities	Percent	2014	Kenya	<5 years	Total	Female	Total	PosessionOfBirthCertificate	23.3	43.1	66.4	
Table 2.10 	Birth registration of children under age five	Percentage of de jure children under five years of age whose births are registered with the civil authorities, according to background characteristics, Kenya 2014	Percentage of de jure children under five years of age whose births are registered with the civil authorities	Percent	2014	Kenya	<5 years	Urban	Total	Total	PosessionOfBirthCertificate	37.4	41.4	78.8	
Table 2.10 	Birth registration of children under age five	Percentage of de jure children under five years of age whose births are registered with the civil authorities, according to background characteristics, Kenya 2014	Percentage of de jure children under five years of age whose births are registered with the civil authorities	Percent	2014	Kenya	<5 years	Rural	Total	Total	PosessionOfBirthCertificate	17.5	43.4	61	
Table 2.10 	Birth registration of children under age five	Percentage of de jure children under five years of age whose births are registered with the civil authorities, according to background characteristics, Kenya 2014	Percentage of de jure children under five years of age whose births are registered with the civil authorities	Percent	2014	Coast	<5 years	Total	Total	Total	PosessionOfBirthCertificate	21.3	53.5	74.8	
Table 2.10 	Birth registration of children under age five	Percentage of de jure children under five years of age whose births are registered with the civil authorities, according to background characteristics, Kenya 2014	Percentage of de jure children under five years of age whose births are registered with the civil authorities	Percent	2014	North Eastern	<5 years	Total	Total	Total	PosessionOfBirthCertificate	44.7	17.1	61.8	
Table 2.10 	Birth registration of children under age five	Percentage of de jure children under five years of age whose births are registered with the civil authorities, according to background characteristics, Kenya 2014	Percentage of de jure children under five years of age whose births are registered with the civil authorities	Percent	2014	Eastern	<5 years	Total	Total	Total	PosessionOfBirthCertificate	18.1	57	75.1	
Table 2.10 	Birth registration of children under age five	Percentage of de jure children under five years of age whose births are registered with the civil authorities, according to background characteristics, Kenya 2014	Percentage of de jure children under five years of age whose births are registered with the civil authorities	Percent	2014	Central	<5 years	Total	Total	Total	PosessionOfBirthCertificate	36.3	53.4	89.7	
Table 2.10 	Birth registration of children under age five	Percentage of de jure children under five years of age whose births are registered with the civil authorities, according to background characteristics, Kenya 2014	Percentage of de jure children under five years of age whose births are registered with the civil authorities	Percent	2014	Rift Valley	<5 years	Total	Total	Total	PosessionOfBirthCertificate	20.1	42.8	62.9	
Table 2.10 	Birth registration of children under age five	Percentage of de jure children under five years of age whose births are registered with the civil authorities, according to background characteristics, Kenya 2014	Percentage of de jure children under five years of age whose births are registered with the civil authorities	Percent	2014	Western	<5 years	Total	Total	Total	PosessionOfBirthCertificate	19.6	33.6	53.2	
Table 2.10 	Birth registration of children under age five	Percentage of de jure children under five years of age whose births are registered with the civil authorities, according to background characteristics, Kenya 2014	Percentage of de jure children under five years of age whose births are registered with the civil authorities	Percent	2014	Nyanza	<5 years	Total	Total	Total	PosessionOfBirthCertificate	19.5	34.6	54.1	
Table 2.10 	Birth registration of children under age five	Percentage of de jure children under five years of age whose births are registered with the civil authorities, according to background characteristics, Kenya 2014	Percentage of de jure children under five years of age whose births are registered with the civil authorities	Percent	2014	Nairobi	<5 years	Total	Total	Total	PosessionOfBirthCertificate	42.6	36.9	79.5	
Table 2.10 	Birth registration of children under age five	Percentage of de jure children under five years of age whose births are registered with the civil authorities, according to background characteristics, Kenya 2014	Percentage of de jure children under five years of age whose births are registered with the civil authorities	Percent	2014	Kenya	<5 years	Total	Total	Lowest	PosessionOfBirthCertificate	12.3	39.8	52.1	
Table 2.10 	Birth registration of children under age five	Percentage of de jure children under five years of age whose births are registered with the civil authorities, according to background characteristics, Kenya 2014	Percentage of de jure children under five years of age whose births are registered with the civil authorities	Percent	2014	Kenya	<5 years	Total	Total	Second	PosessionOfBirthCertificate	15.4	43.2	58.6	
Table 2.10 	Birth registration of children under age five	Percentage of de jure children under five years of age whose births are registered with the civil authorities, according to background characteristics, Kenya 2014	Percentage of de jure children under five years of age whose births are registered with the civil authorities	Percent	2014	Kenya	<5 years	Total	Total	Middle	PosessionOfBirthCertificate	19.7	45.4	65	
Table 2.10 	Birth registration of children under age five	Percentage of de jure children under five years of age whose births are registered with the civil authorities, according to background characteristics, Kenya 2014	Percentage of de jure children under five years of age whose births are registered with the civil authorities	Percent	2014	Kenya	<5 years	Total	Total	Fourth	PosessionOfBirthCertificate	27.5	49.6	77.1	
Table 2.10 	Birth registration of children under age five	Percentage of de jure children under five years of age whose births are registered with the civil authorities, according to background characteristics, Kenya 2014	Percentage of de jure children under five years of age whose births are registered with the civil authorities	Percent	2014	Kenya	<5 years	Total	Total	Highest	PosessionOfBirthCertificate	51.4	37.3	88.7	
Table 2.10 	Birth registration of children under age five	Percentage of de jure children under five years of age whose births are registered with the civil authorities, according to background characteristics, Kenya 2014	Percentage of de jure children under five years of age whose births are registered with the civil authorities	Percent	2014	Kenya	<5 years	Total	Total	Total	PosessionOfBirthCertificate	24.1	42.8	66.9	
