Table 9.5C Place of delivery
Percent distribution of live births in the five years preceding the survey by place of delivery and percentage delivered in a health facility, according to county, Kenya 2014
County	Health facility		Home	Other	Missing	Total	Percentage delivered in a health facility	Number of births
	Public sector	Private sector
Coast	48.2	9.5	41.1	0.8	0.4	100.0	57.7	2,023
Mombasa	58.6	23.2	17.6	0.3	0.4	100.0	81.8	512
Kwale	44.5	4.5	48.0	1.8	1.1	100.0	49.0	427
Kilifi	46.5	6.1	46.6	0.7	0.1	100.0	52.6	739
Tana River	30.5	1.1	67.6	0.0	0.8	100.0	31.6	175
Lamu	41.0	2.9	55.9	0.0	0.2	100.0	43.9	56
Taita Taveta	56.7	5.3	37.3	0.8	0.0	100.0	61.9	113
North Eastern	26.1	3.2	68.6	0.7	1.5	100.0	29.2	650
Garissa	35.5	1.1	62.7	0.0	0.7	100.0	36.7	237
Wajir	17.3	1.0	78.5	1.8	1.5	100.0	18.3	258
Mandera	26.1	9.9	61.2	0.0	2.7	100.0	36.0	155
Eastern	45.0	17.7	35.3	1.8	0.3	100.0	62.7	2,321
Marsabit	22.3	3.5	74.2	0.0	0.0	100.0	25.8	91
Isiolo	35.7	6.4	57.6	0.0	0.2	100.0	42.1	85
Meru	47.9	33.9	15.5	2.4	0.3	100.0	81.8	517
Tharaka-Nithi	58.7	19.0	19.0	2.4	0.9	100.0	77.7	141
Embu	60.3	21.2	16.2	2.3	0.0	100.0	81.5	201
Kitui	32.4	13.2	52.1	2.3	0.0	100.0	45.6	438
Machakos	48.8	14.1	35.1	1.3	0.7	100.0	62.9	493
Makueni	44.7	8.5	45.6	1.1	0.0	100.0	53.3	355
Central	64.2	26.1	8.6	1.0	0.1	100.0	90.2	1,796
Nyandarua	69.8	16.3	12.8	1.0	0.1	100.0	86.1	248
Nyeri	72.9	16.1	9.6	1.4	0.0	100.0	89.0	249
Kirinyaga	76.7	15.7	6.5	0.0	1.1	100.0	92.5	197
Murang’a	72.4	12.6	14.3	0.7	0.0	100.0	85.0	308
Kiambu	53.4	40.0	5.4	1.2	0.0	100.0	93.4	794
Rift Valley	38.5	11.7	48.8	0.5	0.5	100.0	50.2	5,677
Turkana	20.4	2.7	75.9	0.8	0.1	100.0	23.1	347
West Pokot	24.5	1.3	73.6	0.0	0.6	100.0	25.8	302
Samburu	16.8	7.7	74.0	1.1	0.4	100.0	24.5	117
Trans-Nzoia	34.9	6.6	57.7	0.8	0.1	100.0	41.5	528
Uasin Gishu	45.4	12.0	42.5	0.0	0.1	100.0	57.4	483
Elgeyo Marakwet	48.7	16.0	34.0	1.3	0.0	100.0	64.7	168
Nandi	39.3	7.2	53.1	0.4	0.0	100.0	46.5	402
Baringo	48.9	4.7	45.4	1.0	0.0	100.0	53.5	238
Laikipia	36.1	12.0	51.0	0.3	0.6	100.0	48.1	209
Nakuru	53.7	16.0	29.7	0.5	0.2	100.0	69.7	909
Narok	32.0	6.6	60.7	0.5	0.1	100.0	38.6	638
Kajiado	35.8	26.7	37.0	0.2	0.4	100.0	62.4	461
Kericho	44.4	17.8	35.3	1.0	1.5	100.0	62.2	373
Bomet	32.6	16.3	48.3	0.4	2.4	100.0	49.0	502
Western	40.8	6.2	51.3	1.4	0.3	100.0	47.0	2,255
Kakamega	37.7	9.2	50.6	2.1	0.3	100.0	47.0	747
Vihiga	42.8	7.3	47.0	2.1	0.7	100.0	50.2	229
Bungoma	36.3	4.5	58.1	0.9	0.2	100.0	40.8	870
Busia	54.7	3.7	40.3	1.0	0.2	100.0	58.4	409
Nyanza	54.8	10.0	33.1	1.3	0.9	100.0	64.8	2,790
Siaya	62.4	7.2	27.0	1.2	2.2	100.0	69.6	391
Kisumu	57.5	12.0	28.8	1.3	0.4	100.0	69.5	500
Homa Bay	57.1	4.8	35.7	1.5	0.9	100.0	61.9	658
Migori	41.7	11.6	43.9	2.1	0.6	100.0	53.3	565
Kisii	54.3	15.0	30.0	0.7	0.0	100.0	69.3	482
Nyamira	63.3	10.9	23.5	0.2	2.0	100.0	74.3	195
Nairobi	50.1	38.6	10.1	1.0	0.3	100.0	88.7	2,051
Total	46.0	15.2	37.4	1.0	0.5	100.0	61.2	19,564
