Table	3.1: Distribution Sampled Licensed Establishments, Clusters and Households by County and Residence
Rural Urban Total Rural Urban Total
Baringo	8	4	12	192	96	288	714
Bomet	9	4	13	216	96	312	1,008
Bungoma	9	4	13	216	96	312	1,534
Busia	9	4	13	216	96	312	630
Elgeyo Marakwet	8	4	12	192	96	288	669
Embu	8	4	12	192	96	288	1,287
Garissa	8	5	13	192	120	312	860
Homa Bay	8	5	13	192	120	312	779
Isiolo	6	5	11	144	120	264	688
Kajiado	6	6	12	144	144	288	1,175
Kakamega	9	4	13	216	96	312	872
Kericho	7	6	13	168	144	312	965
Kiambu	6	8	14	144	192	336	1,382
Kilifi	7	6	13	168	144	312	1,191
Kirinyaga	8	5	13	192	120	312	1,181
Kisii	9	5	14	216	120	336	1,084
Kisumu	7	7	14	168	168	336	1,331
Kitui	9	4	13	216	96	312	1,463
Kwale	8	5	13	192	120	312	1,382
Laikipia	8	5	13	192	120	312	952
Lamu	6	5	11	144	120	264	625
Machakos	6	7	13	144	168	312	1,923
Makueni	9	4	13	216	96	312	1,336
Mandera	8	4	12	192	96	288	566
Marsabit	7	4	11	168	96	264	415
Meru	10	4	14	240	96	336	1,038
Migori	7	6	13	168	144	312	716
Mombasa		13	13		312	312	1,838
Muranga	9	4	13	216	96	312	1,142
Nairobi		18	18		432	432	2,367
Nakuru	7	7	14	168	168	336	1,560
Nandi	9	4	13	216	96	312	1,050
Narok	9	3	12	216	72	288	774
Nyamira	9	4	13	216	96	312	875
Nyandarua	8	4	12	192	96	288	1,245
Nyeri	8	5	13	192	120	312	1,796
Samburu	7	4	11	168	96	264	834
Siaya	8	5	13	192	120	312	1,041
Taita Taveta	8	4	12	192	96	288	886
Tana River	8	4	12	192	96	288	726
Tharaka	8	4	12	192	96	288	829
Trans-Nzoia	8	5	13	192	120	312	1,300
Turkana	8	4	12	192	96	288	699
Uasin Gishu	7	7	14	168	168	336	1,576
Vihiga	7	5	12	168	120	288	706
Wajir	7	5	12	168	120	288	401
West Pokot	9	3	12	216	72	288	632
Grand Total	354	246	600	8,496	5,904	14,400	50,043
