Annex Table A3: Overall Poverty Estimates (Households) by Place of residence and County, 2015/16


National	27.4	(0.41)	7.7	(0.14)	3.3	(0.08)	100.0	(0.00)	100.0	(0.00)	100.0	(0.00)	11,414	3,126
Rural	32.6	(0.49)	9.2	(0.18)	3.9	(0.11)	67.1	(0.87)	54.8	(1.15)	41.1	(1.40)	6,441	2,097
Peri-Urban	21.1	(0.95)	5.2	(0.29)	2.0	(0.15)	5.4	(0.27)	3.9	(0.24)	2.6	(0.21)	806	166
Core-Urban	20.6	(0.79)	5.8	(0.25)	2.4	(0.13)	27.5	(0.88)	41.3	(1.19)	56.3	(1.46)	4,166	880
Mombasa	17.5	(2.03)	4.5	(0.62)	1.9	(0.33)	2.2	(0.28)	3.1	(0.44)	4.1	(0.72)	397	69
Kwale	35.0	(2.72)	8.1	(0.81)	2.6	(0.33)	2.0	(0.18)	1.5	(0.18)	1.2	(0.18)	174	61
Kilifi	33.9	(2.62)	8.4	(0.96)	3.2	(0.52)	3.5	(0.33)	3.3	(0.48)	3.0	(0.63)	326	111
Tana River	54.8	(3.99)	17.9	(1.59)	8.8	(1.08)	1.0	(0.09)	1.1	(0.11)	1.3	(0.18)	56	31
Lamu	21.0	(2.35)	4.0	(0.58)	1.3	(0.27)	0.2	(0.03)	0.1	(0.02)	0.1	(0.02)	30	6
Taita /Taveta	26.3	(2.29)	6.5	(0.76)	2.4	(0.40)	0.9	(0.09)	0.7	(0.09)	0.5	(0.09)	102	27
Garissa	59.6	(2.81)	20.2	(1.22)	9.2	(0.73)	1.5	(0.11)	1.8	(0.14)	1.7	(0.17)	78	47
Wajir	54.6	(3.33)	14.2	(1.25)	5.8	(0.82)	1.2	(0.11)	1.0	(0.10)	0.8	(0.13)	69	38
Mandera	72.9	(2.70)	29.0	(1.49)	14.5	(0.97)	2.6	(0.19)	3.5	(0.29)	4.0	(0.41)	111	81
Marsabit	55.8	(3.01)	20.1	(1.40)	9.5	(0.88)	1.1	(0.09)	1.3	(0.12)	1.3	(0.14)	62	35
Isiolo	42.3	(2.86)	12.5	(1.22)	5.3	(0.75)	0.5	(0.04)	0.6	(0.08)	0.8	(0.15)	34	14
Meru	16.3	(1.98)	4.2	(0.64)	1.5	(0.29)	2.1	(0.27)	1.7	(0.26)	1.3	(0.24)	393	64
Tharaka-Nithi	19.2	(1.99)	3.3	(0.44)	1.0	(0.18)	0.7	(0.08)	0.4	(0.05)	0.2	(0.04)	107	21
