Table 3.4.1C Exposure to mass media: Women
Percentage of women age 15-49 who are exposed to specific media on a weekly basis, by county, Kenya 2014
County	Reads a newspaper at least once a week	Watches television at least once a week	Listens to the radio at least once a week	Accesses al three media at least once a week	Accesses none of the three media at least once a week	Number of women
Coast	13.6	38.2	50.2	9.0	37.8	3,076
Mombasa	26.3	70.3	66.6	20.0	12.7	912
Kwale	7.6	21.3	38.5	3.4	53.5	619
Kilifi	6.7	23.9	37.8	3.6	53.2	1,043
Tana River	7.8	16.5	38.4	3.5	55.4	197
Lamu	8.4	35.5	65.0	4.9	25.6	89
Taita Taveta	18.1	41.4	78.8	11.9	13.6	215
North Eastern	4.0	11.4	20.9	1.5	72.4	648
Garissa	3.1	15.1	12.8	1.3	76.9	261
Wajir	4.4	8.8	23.1	1.3	71.6	212
Mandera	5.0	9.0	30.4	2.0	66.6	175
Eastern	17.4	24.7	67.0	8.1	29.0	4,375
Marsabit	1.9	19.2	20.7	0.8	69.2	115
Isiolo	16.1	34.7	46.7	11.7	45.0	104
Meru	13.4	27.0	58.7	6.8	37.8	1,110
Tharaka-Nithi	12.5	20.6	54.6	6.1	41.2	275
Embu	18.3	27.5	72.5	8.5	22.5	459
Kitui	2.8	11.7	56.6	1.5	40.9	759
Machakos	17.2	33.4	82.2	10.2	14.4	873
Makueni	44.7	23.7	85.2	15.8	10.1	680
Central	25.5	57.1	84.1	18.1	9.0	3,994
Nyandarua	17.4	32.3	86.1	8.5	10.2	436
Nyeri	29.7	61.6	90.5	21.3	3.7	650
Kirinyaga	17.6	37.4	64.5	8.7	26.7	451
Murang’a	11.9	36.8	84.1	6.4	12.9	735
Kiambu	33.9	75.5	86.4	26.7	4.5	1,722
Rift Valley	19.1	34.6	70.3	10.9	23.4	7,953
Turkana	4.1	7.1	18.8	2.7	79.5	320
West Pokot	9.3	12.3	31.2	6.7	67.3	267
Samburu	3.4	16.3	28.1	1.8	67.2	123
Trans-Nzoia	14.9	22.0	67.4	4.8	25.8	768
Uasin Gishu	22.1	45.6	78.0	14.5	17.0	784
Elgeyo Marakwet	10.1	24.5	71.3	7.0	26.6	250
Nandi	7.9	16.6	67.1	3.4	30.1	628
Baringo	9.8	16.3	50.9	4.3	44.1	335
Laikipia	15.3	33.9	74.3	10.7	20.7	342
Nakuru	33.5	59.0	81.4	21.4	8.8	1,574
Narok	13.1	26.1	82.3	5.9	13.0	642
Kajiado	19.1	55.7	64.5	13.4	19.4	670
Kericho	30.3	33.3	79.3	14.7	15.6	563
Bomet	17.1	22.8	83.6	7.1	14.6	687
Western	14.1	21.2	73.3	5.9	22.8	3,225
Kakamega	15.2	23.4	73.3	6.3	21.8	1,108
Vihiga	22.0	29.8	84.9	12.0	12.5	368
Bungoma	12.1	18.0	71.3	4.8	25.8	1,203
Busia	10.8	17.9	69.9	3.6	25.4	546
Nyanza	14.9	25.3	68.6	6.7	25.7	4,038
Siaya	16.8	16.9	76.7	6.1	19.3	572
Kisumu	21.5	50.8	83.3	14.5	9.8	820
Homa Bay	16.4	15.6	66.8	5.5	29.8	798
Migori	8.4	18.4	70.0	4.5	27.3	650
Kisii	14.2	23.9	50.6	4.0	38.4	864
Nyamira	6.2	17.1	66.7	3.0	30.8	334
Nairobi	20.7	80.3	78.7	16.5	6.1	3,770
Total	17.9	38.9	69.7	10.7	22.9	31,079
