Table 11.10C Nutritional status of women
Among women age 15-49, the percentage with height under 145 cm, mean Body Mass Index (BMI), and the percentage with specific BMI levels, by county, Kenya 2014
County	Height		Body Mass Index1
	Percentage below 145 cm	Number of women	Mean Body Mass Index (BMI)	18.5-24.9 (Total normal)	<18.5 (Total thin)	17.0-18.4 (Mildly thin)	<17 (Moderately and severely thin)	≥25.0 (Total overweight or obese)	25.0-29.9 (Overweight)	≥30.0 (Obese)	Number of women
Coast	2.1	1,391	23.5	56.8	11.0	8.6	2.5	32.1	20.6	11.6	1,262
Mombasa	1.0	400	25.4	47.0	4.8	4.7	0.1	48.2	26.9	21.3	362
Kwale	4.0	280	22.8	55.9	16.3	12.8	3.5	27.8	20.9	6.9	252
Kilifi	2.3	479	22.3	68.7	10.9	8.4	2.5	20.4	14.9	5.4	435
Tana River	1.1	89	21.5	51.2	29.1	20.1	9.0	19.7	15.7	4.0	81
Lamu	2.3	44	24.1	48.9	13.9	7.8	6.1	37.2	20.0	17.2	41
Taita Taveta	0.9	99	25.3	50.6	4.5	3.4	1.1	45.0	26.1	18.9	91
North Eastern	0.1	283	21.5	52.3	28.8	17.4	11.4	19.0	14.3	4.7	239
Garissa	0.3	116	21.1	49.0	33.3	19.2	14.1	17.7	13.2	4.5	96
Wajir	0.0	83	22.2	46.7	28.3	21.2	7.1	25.0	17.8	7.2	67
Mandera	0.0	84	21.4	61.3	23.5	11.7	11.8	15.2	12.4	2.8	76
Eastern	1.7	2,051	23.4	60.2	9.8	6.9	2.9	30.1	21.6	8.4	1,918
Marsabit	0.9	53	21.3	55.3	27.0	18.0	9.0	17.6	15.0	2.7	45
Isiolo	0.3	48	22.1	50.4	24.4	13.3	11.0	25.2	18.1	7.1	44
Meru	1.6	530	23.9	60.7	7.7	4.2	3.5	31.6	21.4	10.2	495
Tharaka-Nithi	0.5	130	22.9	64.6	10.9	9.4	1.5	24.5	17.5	7.0	125
Embu	0.7	209	23.7	53.7	12.8	8.8	4.0	33.5	21.4	12.1	197
Kitui	3.5	355	23.2	59.5	9.5	8.7	0.8	31.0	25.0	6.0	335
Machakos	0.8	398	23.6	64.3	6.3	4.0	2.3	29.4	20.7	8.7	371
Makueni	2.6	328	23.3	59.4	10.6	8.1	2.5	30.0	22.6	7.4	306
Central	0.7	1,810	25.3	46.7	6.2	4.1	2.1	47.1	29.4	17.6	1,697
Nyandarua	0.6	199	24.5	53.8	5.5	3.1	2.5	40.6	25.0	15.6	187
Nyeri	0.7	319	25.3	47.2	3.6	1.7	1.9	49.2	34.2	15.1	297
Kirinyaga	0.5	210	25.9	38.8	6.8	3.4	3.4	54.4	36.7	17.7	196
Murang’a	0.0	343	25.1	47.0	5.8	5.6	0.2	47.3	30.3	16.9	328
Kiambu	1.1	739	25.4	46.7	7.6	4.9	2.7	45.7	26.1	19.6	689
