Table 19.1: Mean Monthly Food and Non-Food Expenditure per Adult Equivalent, 2015/16
Food Non-food Total Food Nonfood
National	4,239	3,572	7,811	54.3	45.7
Rural	3,447	1,879	5,326	64.7	35.3
Peri-urban	3,792	2,749	6,540	58.0	42.0
Core urban	5,550	6,349	11,900	46.6	53.4
Mombasa	5,459	5,510	10,970	49.8	50.2
Kwale	3,924	2,546	6,470	60.6	39.4
Kilifi	4,081	3,828	7,908	51.6	48.4
Tana River	2,935	2,017	4,952	59.3	40.7
Lamu	5,006	2,719	7,725	64.8	35.2
Taita / Taveta	4,023	2,893	6,917	58.2	41.8
Garissa	2,954	1,668	4,622	63.9	36.1
Wajir	2,686	1,097	3,784	71.0	29.0
Mandera	2,287	1,173	3,461	66.1	33.9
Marsabit	2,983	1,510	4,493	66.4	33.6
Isiolo	3,592	2,661	6,252	57.5	42.6
Meru	4,612	2,616	7,228	63.8	36.2
Tharaka - Nithi	4,382	2,861	7,243	60.5	39.5
Embu	4,148	2,859	7,007	59.2	40.8
Kitui	3,424	2,054	5,478	62.5	37.5
Machakos	4,403	4,053	8,455	52.1	47.9
Makueni	3,620	2,453	6,073	59.6	40.4
Nyandarua	4,254	2,439	6,694	63.5	36.4
Nyeri	5,402	3,818	9,220	58.6	41.4
Kirinyaga	4,359	3,010	7,369	59.2	40.8
Murang'a	3,690	2,705	6,394	57.7	42.3
Kiambu	4,567	5,027	9,594	47.6	52.4
Turkana	3,704	1,158	4,862	76.2	23.8
West Pokot	2,552	1,362	3,914	65.2	34.8
Samburu	3,037	1,440	4,477	67.8	32.2
Trans Nzoia	3,543	2,942	6,485	54.6	45.4
Uasin Gishu	3,778	3,252	7,030	53.7	46.3
Elgeyo / Marakwet	3,108	1,800	4,909	63.3	36.7
Nandi	3,215	2,069	5,284	60.8	39.2
Baringo	3,938	2,773	6,712	58.7	41.3
Laikipia	3,960	2,287	6,247	63.4	36.6
Nakuru	4,765	3,869	8,634	55.2	44.8
Narok	4,559	3,706	8,265	55.2	44.8
Kajiado	4,122	4,285	8,407	49.0	51.0
Kericho	3,342	2,260	5,602	59.7	40.3
Bomet	3,179	1,443	4,622	68.8	31.2
Kakamega	3,311	1,961	5,272	62.8	37.2
Vihiga	2,951	1,686	4,637	63.6	36.4
Bungoma	3,619	2,222	5,841	62.0	38.0
Busia	2,617	1,307	3,924	66.7	33.3
Siaya	4,106	1,853	5,959	68.9	31.1
Kisumu	4,435	3,238	7,673	57.8	42.2
Homa Bay	3,724	1,954	5,677	65.6	34.4
Migori	3,239	1,833	5,072	63.9	36.1
Kisii	3,336	2,043	5,378	62.0	38.0
Nyamira	3,402	2,379	5,781	58.8	41.2
Nairobi City	6,153	8,158	14,311	43.0	57.0
