Table 3.2.1C Educational attainment: Women
Percent distribution of women age 15-49 by highest level of schooling attended or completed, and median years completed, according to county, Kenya 2014
County	Highest level of schooling						Total	Median years completed	Number of women
	No education	Some primary	Completed primary1	Some secondary	Completed secondary2	More than secondary
Coast	16.3	29.0	23.1	11.0	14.5	6.0	100.0	7.2	3,076
Mombasa	5.8	18.8	26.9	15.0	23.6	9.9	100.0	7.9	912
Kwale	21.7	35.0	23.5	6.9	8.5	4.4	100.0	6.1	619
Kilifi	20.4	34.1	19.3	10.5	11.4	4.4	100.0	6.4	1,043
Tana River	41.7	33.3	13.5	5.6	4.1	1.8	100.0	2.4	197
Lamu	17.0	39.1	21.0	10.4	6.2	6.3	100.0	6.4	89
Taita Taveta	2.3	22.6	34.5	13.3	21.1	6.2	100.0	7.7	215
North Eastern	74.9	9.9	4.8	4.1	3.5	2.7	100.0	0.0	648
Garissa	72.7	9.6	5.7	4.4	3.6	4.0	100.0	0.0	261
Wajir	76.9	9.9	4.6	4.2	2.5	1.7	100.0	0.0	212
Mandera	75.9	10.4	3.7	3.6	4.3	2.0	100.0	0.0	175
Eastern	4.8	28.4	31.2	15.6	11.8	8.3	100.0	7.5	4,375
Marsabit	61.9	16.0	10.3	5.0	4.3	2.4	100.0	0.0	115
Isiolo	39.7	22.5	18.1	6.0	8.7	5.0	100.0	5.0	104
Meru	4.1	37.4	27.5	11.1	11.0	9.0	100.0	7.2	1,110
Tharaka-Nithi	2.0	35.8	28.4	12.9	12.3	8.5	100.0	7.4	275
Embu	1.3	28.6	29.2	16.6	13.7	10.6	100.0	7.6	459
Kitui	3.9	35.4	34.4	12.9	8.7	4.6	100.0	7.3	759
Machakos	0.2	15.9	36.9	20.1	16.5	10.4	100.0	7.8	873
Makueni	0.9	21.6	34.6	24.0	10.4	8.5	100.0	7.7	680
Central	0.9	14.7	29.7	17.8	21.8	15.1	100.0	8.8	3,994
Nyandarua	0.8	17.1	39.1	18.0	18.6	6.4	100.0	7.8	436
Nyeri	1.1	11.5	27.8	21.1	24.2	14.3	100.0	9.2	650
Kirinyaga	0.8	28.0	29.8	15.0	21.1	5.4	100.0	7.7	451
Murang’a	1.6	19.4	29.9	20.8	20.7	7.6	100.0	7.9	735
Kiambu	0.5	9.9	27.9	15.9	22.4	23.3	100.0	10.1	1,722
Rift Valley	9.2	27.7	22.7	15.3	14.0	11.0	100.0	7.5	7,953
Turkana	64.1	24.1	3.1	1.2	5.5	2.0	100.0	0.0	320
West Pokot	33.8	41.0	12.0	5.2	4.7	3.4	100.0	4.6	267
Samburu	55.7	21.1	7.3	5.2	5.4	5.4	100.0	0.0	123
Trans-Nzoia	2.6	39.3	22.9	19.2	10.8	5.2	100.0	7.3	768
Uasin Gishu	1.5	25.1	21.9	18.6	17.2	15.7	100.0	7.9	784
Elgeyo Marakwet	1.2	27.7	28.6	14.4	15.0	13.0	100.0	7.7	250
Nandi	0.8	37.8	23.9	16.6	12.6	8.3	100.0	7.4	628
Baringo	9.3	30.0	24.5	15.0	12.1	9.0	100.0	7.4	335
Laikipia	13.4	19.8	24.7	14.9	14.9	12.3	100.0	7.6	342
Nakuru	1.9	14.7	30.1	19.0	19.2	15.2	100.0	8.3	1,574
Narok	15.5	38.2	17.3	12.0	10.4	6.6	100.0	6.6	642
Kajiado	18.0	12.8	17.9	14.1	17.0	20.2	100.0	8.0	670
Kericho	0.3	32.0	24.9	15.6	16.3	10.8	100.0	7.6	563
Bomet	0.4	39.8	25.7	14.3	11.5	8.2	100.0	7.3	687
Western	2.8	40.8	19.5	20.0	9.6	7.3	100.0	7.2	3,225
Kakamega	4.0	38.7	18.5	20.3	10.5	8.1	100.0	7.3	1,108
Vihiga	0.4	30.0	26.7	25.2	9.6	8.2	100.0	7.6	368
Bungoma	0.9	41.2	19.8	20.7	10.3	7.2	100.0	7.3	1,203
Busia	6.6	51.6	16.1	14.3	6.0	5.2	100.0	6.5	546
Nyanza	1.4	33.4	25.3	18.6	13.5	7.7	100.0	7.5	4,038
Siaya	1.9	35.7	28.6	18.6	9.5	5.6	100.0	7.4	572
Kisumu	1.2	23.7	24.7	20.8	16.2	13.4	100.0	7.9	820
Homa Bay	1.1	39.7	28.1	18.2	8.9	4.0	100.0	7.3	798
Migori	2.6	49.9	24.0	14.2	6.7	2.6	100.0	6.8	650
Kisii	0.9	28.8	22.0	19.1	19.2	10.0	100.0	7.8	864
Nyamira	0.8	17.8	25.6	21.9	23.9	10.0	100.0	9.1	334
Nairobi	1.7	8.9	23.4	14.7	27.9	23.5	100.0	11.0	3,770
Total	7.0	25.7	24.6	15.8	15.7	11.2	100.0	7.6	31,079
1 Completed Grade 8 at the primary level, for those under age 45; because of the change in the school system in the 1980s, those age 45 and above are considered to have completed primary if they completed Grade 7.
2 Completed Form 4 at the secondary level
