Table 11.1C Nutritional status of children
Percentage of children under five years classified as malnourished according to three anthropometric indices of nutritional status: height-for-age, weight-forheight, and weight-for-age, by county, Kenya 2014
County	Height-for-age1			Weight-for-height				Weight-for-age				Number of children
	Percentage below -3 SD	Percentage below -2 SD2	Mean Z-score (SD)	Percentage below -3 SD	Percentage below -2 SD2	Percentage above +2 SD	Mean Z-score (SD)	Percentage below -3 SD	Percentage below -2 SD2	Percentage above +2 SD	Mean Z-score (SD)
Coast	10.4	30.8	-1.3	0.8	4.5	3.3	-0.1	2.4	13.6	1.2	-0.8	1,926
Mombasa	7.1	21.1	-1.0	0.0	4.1	4.2	0.0	1.5	9.6	1.9	-0.6	456
Kwale	10.5	29.7	-1.4	0.8	4.4	3.8	0.0	1.5	11.8	1.5	-0.8	401
Kilifi	13.6	39.1	-1.5	0.9	4.1	2.8	-0.1	3.1	16.9	0.6	-1.0	737
Tana River	9.4	28.1	-1.4	0.9	5.7	1.3	-0.3	3.1	18.6	0.6	-1.0	164
Lamu	7.1	29.2	-1.2	0.3	4.2	2.0	-0.1	2.1	11.8	2.1	-0.8	53
Taita Taveta	5.8	23.8	-0.9	3.6	7.2	4.2	-0.1	3.2	7.8	1.8	-0.6	115
North Eastern	10.7	24.7	-0.9	2.6	13.3	2.6	-0.7	4.5	19.0	1.2	-1.0	604
Garissa	5.9	15.6	-0.7	1.3	11.4	2.3	-0.6	2.9	13.1	1.3	-0.8	228
Wajir	10.3	26.4	-1.0	3.1	14.2	0.7	-0.8	3.7	21.1	0.0	-1.1	228
Mandera	19.0	36.1	-1.3	3.8	14.8	5.9	-0.5	8.2	24.9	3.0	-1.1	148
Eastern	8.2	30.1	-1.3	1.2	4.4	4.3	-0.1	2.2	12.2	0.9	-0.8	2,409
Marsabit	10.7	26.5	-1.2	5.1	16.3	1.0	-0.9	7.3	30.1	0.4	-1.3	90
Isiolo	5.1	19.1	-0.7	2.4	9.1	1.6	-0.6	3.2	12.9	1.0	-0.8	80
Meru	6.2	25.2	-1.1	1.0	2.9	4.9	0.1	1.2	8.1	0.5	-0.6	529
Tharaka-Nithi	7.6	32.9	-1.4	0.0	3.3	3.6	0.0	4.1	10.8	0.8	-0.8	151
Embu	6.5	26.8	-1.3	0.2	3.0	3.6	0.1	1.3	11.1	1.3	-0.7	202
Kitui	12.7	45.8	-1.7	0.4	3.4	3.1	-0.2	2.9	19.7	0.7	-1.1	486
Machakos	7.1	26.5	-1.1	2.5	6.5	5.5	-0.1	1.7	8.1	1.2	-0.7	502
Makueni	7.8	25.1	-1.3	1.0	2.1	5.3	0.1	1.7	10.2	1.0	-0.7	369
Central	4.9	18.4	-0.9	0.2	2.3	6.2	0.2	1.2	5.3	2.4	-0.3	1,694
Nyandarua	8.1	29.4	-1.3	0.1	2.0	6.8	0.3	1.0	6.8	0.8	-0.6	248
Nyeri	5.6	15.1	-0.9	0.0	2.4	5.9	0.2	1.2	2.5	2.1	-0.3	268
Kirinyaga	3.7	17.2	-0.9	0.8	3.9	4.5	-0.0	1.3	7.7	0.0	-0.5	185
Murang’a	4.8	19.3	-1.0	0.0	1.4	3.1	0.1	1.6	5.6	1.2	-0.5	307
Kiambu	3.8	15.7	-0.7	0.3	2.3	7.9	0.4	1.1	5.1	4.3	-0.1	686
Rift Valley	9.3	29.8	-1.3	1.3	5.7	3.7	-0.2	3.6	15.3	1.0	-0.8	5,466
Turkana	7.1	23.9	-1.1	4.4	22.9	0.2	-1.3	9.8	34.0	0.0	-1.5	359
