Annex Table B3: Food Poverty Estimates (Households) by Place of residence and County, 2015/16

National	23.8	(0.39)	6.7	(0.14)	2.9	(0.08)	100.0	(0.00)	100.0	(0.00)	100.0	(0.00)	11,414	2,718
Rural	28.1	(0.46)	8.0	(0.18)	3.5	(0.11)	66.5	(0.95)	61.8	(1.19)	57.1	(1.57)	6,441	1,808
Peri-Urban	21.5	(0.97)	5.5	(0.31)	2.2	(0.18)	6.4	(0.32)	5.4	(0.33)	4.5	(0.38)	806	173
Core-Urban	17.7	(0.75)	5.0	(0.24)	2.2	(0.13)	27.1	(0.97)	32.8	(1.22)	38.4	(1.62)	4,166	736
Mombasa	16.1	(1.82)	4.9	(0.67)	2.3	(0.41)	2.4	(0.29)	3.1	(0.43)	3.8	(0.69)	397	64
Kwale	30.9	(2.72)	7.6	(0.87)	2.7	(0.40)	2.0	(0.21)	1.7	(0.22)	1.4	(0.24)	174	54
Kilifi	35.2	(2.63)	9.0	(0.93)	3.6	(0.53)	4.2	(0.38)	3.8	(0.46)	3.5	(0.55)	326	115
Tana River	47.1	(3.88)	16.3	(2.07)	8.7	(1.54)	1.0	(0.10)	1.2	(0.17)	1.4	(0.26)	56	26
Lamu	15.7	(2.13)	3.9	(0.71)	1.6	(0.40)	0.2	(0.03)	0.1	(0.03)	0.1	(0.03)	30	5
Taita /Taveta	29.3	(2.42)	7.2	(0.81)	3.0	(0.51)	1.1	(0.11)	0.9	(0.11)	0.8	(0.14)	102	30
Garissa	38.6	(2.67)	11.9	(1.07)	5.4	(0.71)	1.1	(0.09)	1.2	(0.13)	1.3	(0.21)	78	30
Wajir	35.1	(3.04)	10.2	(1.26)	4.7	(0.82)	0.9	(0.09)	0.9	(0.12)	0.9	(0.16)	69	24
Mandera	55.8	(3.06)	22.2	(1.60)	11.6	(1.04)	2.3	(0.19)	3.1	(0.29)	3.7	(0.39)	111	62
Marsabit	46.3	(3.04)	15.1	(1.29)	7.0	(0.84)	1.1	(0.10)	1.2	(0.12)	1.2	(0.16)	62	29
Isiolo	26.8	(2.62)	6.7	(0.93)	2.5	(0.55)	0.3	(0.04)	0.3	(0.05)	0.3	(0.08)	34	9
Meru	12.4	(1.76)	3.6	(0.72)	1.7	(0.46)	1.8	(0.27)	1.8	(0.35)	1.7	(0.47)	393	49
Tharaka-Nithi	22.8	(2.12)	5.5	(0.65)	2.0	(0.32)	0.9	(0.09)	0.7	(0.09)	0.6	(0.10)	107	24
Embu	20.3	(2.12)	4.9	(0.71)	2.0	(0.41)	1.2	(0.14)	1.0	(0.15)	0.8	(0.18)	164	33
Kitui	33.9	(2.49)	10.9	(1.09)	5.1	(0.65)	2.9	(0.27)	3.2	(0.37)	3.2	(0.50)	236	80
Machakos	19.2	(2.09)	5.4	(0.72)	2.3	(0.44)	2.3	(0.24)	2.3	(0.30)	2.1	(0.38)	328	63
Makueni	24.4	(2.09)	7.1	(0.76)	2.9	(0.43)	2.1	(0.20)	2.0	(0.23)	1.7	(0.27)	233	57
Nyandarua	19.8	(2.18)	3.7	(0.51)	1.1	(0.20)	1.4	(0.17)	0.9	(0.12)	0.6	(0.10)	191	38
Nyeri	10.8	(1.49)	1.9	(0.32)	0.5	(0.10)	1.1	(0.16)	0.7	(0.12)	0.4	(0.09)	271	29
Kirinyag’a	15.0	(1.93)	3.1	(0.56)	1.4	(0.39)	1.1	(0.15)	0.8	(0.14)	0.8	(0.20)	198	30
Murang'a	17.1	(1.86)	4.1	(0.59)	1.6	(0.30)	2.0	(0.24)	1.7	(0.25)	1.4	(0.28)	323	55
Kiambu	17.4	(2.06)	4.7	(0.69)	2.1	(0.40)	3.8	(0.49)	4.1	(0.65)	4.6	(0.92)	600	104
Turkana	55.9	(3.23)	26.6	(1.83)	16.1	(1.32)	5.1	(0.40)	8.6	(0.72)	11.7	(1.08)	246	137
West Pokot	49.3	(2.82)	17.0	(1.29)	7.8	(0.77)	2.2	(0.18)	2.5	(0.24)	2.4	(0.28)	119	59
samburu	47.2	(2.71)	17.1	(1.29)	8.3	(0.84)	1.1	(0.09)	1.3	(0.12)	1.3	(0.16)	61	29
