Table 19.3: Food, Overall and Hardcore Poverty Estimates (Individual) by Residence and County, 2015/16
National	 32.0	9.2	36.1	10.4	8.6	2.2	45,371
Rural	 35.8	10.3	40.1	11.5	11.2	2.9	29,127
Peri-Urban	 28.9	7.4	27.5	6.9	6.0	1.2	3,340
Core-Urban	 24.4	7.2	29.4	8.9	3.4	0.8	12,905
Mombasa	 23.6	7.2	27.1	7.5	2.2	0.8	1,185
Kwale	 41.1	10.4	47.4	11.1	5.9	0.7	820
Kilifi	 48.4	12.6	46.4	12.3	7.0	1.9	1,400
Tana River	 55.4	18.2	62.2	20.0	17.9	5.3	304
Lamu	 19.9	4.8	28.5	5.5	3.2	0.8	128
Taita /Taveta	 38.9	9.0	32.3	7.7	5.3	1.0	358
Garissa	 45.2	14.4	65.5	24.1	23.8	6.7	432
Wajir	 41.3	11.8	62.6	16.3	10.5	3.3	459
Mandera	 61.9	26.4	77.6	32.8	38.9	11.0	711
Marsabit	 55.6	17.9	63.7	23.4	23.8	6.3	316
Isiolo	 34.2	9.2	51.9	15.5	8.9	2.0	156
Meru	 15.5	3.8	19.4	4.9	2.8	0.5	1,471
Tharaka-Nithi	 31.2	7.1	23.6	3.8	1.8	0.2	396
Embu	 28.3	6.9	28.2	6.4	4.0	1.1	560
Kitui	 39.4	12.5	47.5	13.4	12.8	2.7	1,098
Machakos	 24.1	6.8	23.3	5.7	3.5	0.7	1,191
Makueni	 30.7	9.1	34.8	8.8	6.6	1.1	959
Nyandarua	 29.8	5.9	34.8	7.2	3.4	0.5	686
Nyeri	 15.5	3.0	19.3	2.4	0.2	0.0	798
Kirinyaga	 18.8	3.0	20.0	3.5	0.9	0.2	608
Murang’a	 22.7	5.7	25.3	6.0	5.2	0.8	1,085
Kiambu	 23.5	5.9	23.3	6.6	3.1	0.4	1,868
Turkana	 66.1	32.9	79.4	46.0	52.7	24.3	1,084
West Pokot	 57.3	20.4	57.4	20.1	26.2	6.0	649
Samburu	 60.1	22.7	75.8	32.1	42.2	11.7	284
Trans Nzoia	 33.3	9.9	34.0	10.4	9.7	2.2	1,038
Uasin Gishu	 38.2	11.7	41.0	12.9	12.1	2.8	1,133
Elgeyo / Marakwet	 44.8	10.8	43.4	13.4	12.2	2.8	469
Nandi	 31.5	8.3	36.0	9.4	8.0	1.2	954
Baringo	 41.4	10.8	39.6	9.7	8.5	2.6	704
Laikipia	 28.5	9.2	45.9	14.9	15.0	4.4	507
Nakuru	 19.6	4.8	29.1	7.8	3.7	0.4	2,031
Narok	 22.1	6.7	22.6	6.0	5.5	1.2	1,078
Kajiado	 36.9	12.3	40.7	13.1	11.4	2.5	871
Kericho	 31.4	7.3	30.3	8.1	7.3	1.7	945
Bomet	 32.8	5.6	48.8	9.3	6.1	0.7	916
Kakamega	 33.3	8.3	35.8	9.5	6.9	1.9	1,876
Vihiga	 36.6	9.5	43.2	11.5	8.2	1.7	627
Bungoma	 32.4	9.5	35.7	9.5	8.8	1.7	1,553
Busia	 59.5	17.5	69.3	22.3	26.8	4.3	840
Siaya	 27.3	7.2	33.8	8.7	6.1	1.5	985
Kisumu	 32.5	8.3	33.9	8.7	6.0	1.2	1,132
Homa Bay	 22.7	6.0	33.5	8.4	5.9	1.2	1,072
Migori	 32.0	7.9	41.2	8.0	3.6	0.6	1,126
Kisii	 44.5	11.6	41.7	10.8	7.5	1.2	1,347
Nyamira	 36.3	10.1	32.7	9.1	7.6	1.5	699
Nairobi City	 16.1	3.9	16.7	3.4	0.6	0.0	4,463
