Table 2.8 Household population by age, sex, and residence
Percent distribution of the de facto household population by five-year age groups, according to sex and residence, Kenya 2014
	Urban			Rural			Total
Age	Male	Female	Total	Male	Female	Total	Male	Female	Total
<5	13.8	13.9	13.9	15.6	13.9	14.7	15.0	13.9	14.4
5-9	12.6	12.5	12.5	17.4	16.3	16.8	15.7	15.0	15.3
10-14	10.3	10.4	10.4	16.0	14.8	15.4	14.0	13.3	13.7
15-19	7.3	8.3	7.8	10.5	8.9	9.7	9.4	8.7	9.0
20-24	10.0	12.0	11.0	6.3	6.8	6.6	7.6	8.6	8.1
25-29	11.8	12.8	12.3	5.8	7.0	6.4	7.9	8.9	8.4
30-34	9.8	9.0	9.4	5.2	5.5	5.4	6.8	6.7	6.7
35-39	7.1	6.1	6.6	4.7	5.2	4.9	5.5	5.5	5.5
40-44	5.3	4.2	4.7	3.8	4.2	4.0	4.3	4.2	4.3
45-49	3.3	2.8	3.1	2.9	3.5	3.2	3.1	3.2	3.2
50-54	3.0	2.9	3.0	2.9	3.7	3.3	3.0	3.4	3.2
55-59	2.3	1.6	1.9	2.2	2.8	2.5	2.2	2.4	2.3
60-64	1.3	1.1	1.2	2.2	2.3	2.3	1.9	1.9	1.9
65-69	0.8	0.8	0.8	1.6	1.7	1.7	1.3	1.4	1.4
70-74	0.6	0.7	0.6	1.1	1.2	1.2	0.9	1.0	1.0
75-79	0.3	0.4	0.3	0.7	0.9	0.8	0.6	0.7	0.6
80 +	0.4	0.6	0.5	0.9	1.4	1.2	0.7	1.1	0.9
Total	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
Number	23,574	23,871	47,445	43,865	46,470	90,335	67,439	70,341	137,780
