Table 3.1C Background characteristics of respondents
Percent distribution of women and men age 15-49 by county, Kenya 2014
County	Women			Men
Weighted percent	Weighted number	Unweighted number	Weighted percent	Weighted number	Unweighted number
Coast	9.9	3,076	3,902	10.4	1,260	1,505
Mombasa	2.9	912	598	4.0	481	270
Kwale	2.0	619	671	1.9	226	250
Kilifi	3.4	1,043	824	3.0	359	304
Tana River	0.6	197	686	0.5	65	204
Lamu	0.3	89	600	0.3	37	227
Taita Taveta	0.7	215	523	0.8	93	250
North Eastern	2.1	648	1,664	1.9	227	591
Garissa	0.8	261	609	0.8	94	208
Wajir	0.7	212	532	0.6	72	187
Mandera	0.6	175	523	0.5	60	196
Eastern	14.1	4,375	5,247	15.1	1,825	2,144
Marsabit	0.4	115	575	0.3	40	199
Isiolo	0.3	104	606	0.3	35	196
Meru	3.6	1,110	682	4.1	495	320
Tharaka-Nithi	0.9	275	528	0.8	102	215
Embu	1.5	459	645	1.4	164	266
Kitui	2.4	759	747	2.5	303	318
Machakos	2.8	873	718	3.6	436	335
Makueni	2.2	680	746	2.1	250	295
Central	12.9	3,994	3,114	13.0	1,564	1,248
Nyandarua	1.4	436	562	1.6	198	242
Nyeri	2.1	650	708	1.9	229	275
Kirinyaga	1.5	451	560	1.5	184	250
Murang’a	2.4	735	633	2.4	284	250
Kiambu	5.5	1,722	651	5.5	669	231
Rift Valley	25.6	7,953	9,059	25.3	3,050	3,484
Turkana	1.0	320	514	0.6	76	118
West Pokot	0.9	267	534	0.9	103	234
Samburu	0.4	123	579	0.3	35	159
Trans-Nzoia	2.5	768	695	2.7	329	322
Uasin Gishu	2.5	784	689	2.9	355	335
Elgeyo Marakwet	0.8	250	630	0.7	86	234
Nandi	2.0	628	742	2.2	264	338
Baringo	1.1	335	598	1.0	125	229
Laikipia	1.1	342	631	1.0	124	234
Nakuru	5.1	1,574	741	4.9	589	280
Narok	2.1	642	702	2.0	240	265
Kajiado	2.2	670	642	2.0	241	226
Kericho	1.8	563	654	1.8	215	227
Bomet	2.2	687	708	2.2	267	283
Western	10.4	3,225	2,840	9.6	1,164	1,130
Kakamega	3.6	1,108	725	3.4	411	312
Vihiga	1.2	368	634	1.2	140	252
Bungoma	3.9	1,203	805	3.4	413	307
Busia	1.8	546	676	1.6	199	259
Nyanza	13.0	4,038	4,254	11.6	1,405	1,542
Siaya	1.8	572	654	1.8	213	264
Kisumu	2.6	820	696	2.6	309	272
Homa Bay	2.6	798	716	2.0	243	238
Migori	2.1	650	770	1.7	211	251
Kisii	2.8	864	794	2.6	315	291
Nyamira	1.1	334	624	0.9	114	226
Nairobi	12.1	3,770	999	13.0	1,568	370
Total 15-49	100.0	31,079	31,079	100.0	12,063	12,014
50-54	na	na	na	na	756	805
Total 15-54	na	na	na	na	12,819	12,819
na = Not applicable
