Table 10.3C Vaccinations by county
Percentage of children age 12-23 months who received specific vaccines at any time before the survey (according to a vaccination card or the mother’s report), and percentage with a vaccination card, by county, Kenya 2014
County	BCG	DPT-HepB-Hib1	Polio2	Measles	All basic vaccinations3	Pneumococcal	Fully vaccinated4	No vaccinations	Percentage with a vaccination card seen	Number of children
		1	2	3	0	1	2	3			1	2	3
Coast	97.1	97.2	96.6	91.9	75.8	98.2	96.6	92.0	86.6	80.5	95.7	93.9	89.8	77.9	1.3	78.6	391
Mombasa	100.0	100.0	98.3	95.6	78.9	100.0	98.3	93.8	89.1	84.6	96.7	93.7	92.3	78.6	0.0	66.4	93
Kwale	98.6	96.7	96.7	95.1	73.5	99.4	95.9	94.6	90.7	85.9	96.1	96.1	93.6	84.5	0.0	92.3	89
Kilifi	94.3	95.3	95.3	87.5	81.9	96.2	95.8	88.8	83.7	74.7	95.3	92.9	87.4	74.1	3.0	80.9	144
Tana River	97.1	97.1	95.0	89.9	41.8	97.1	93.8	89.4	77.6	73.3	94.3	92.8	85.2	70.2	2.5	72.1	32
Lamu	94.2	99.3	97.0	84.7	62.1	100.0	97.7	94.2	83.2	69.9	91.9	90.4	79.3	67.4	0.0	72.3	9
Taita Taveta	98.4	98.4	98.4	97.5	87.1	100.0	100.0	97.5	93.0	93.0	95.6	95.6	90.4	88.8	0.0	71.5	23
North Eastern	83.4	87.5	82.9	77.4	41.4	88.7	82.2	74.6	69.8	55.6	84.8	80.6	72.7	51.1	10.6	51.1	121
Garissa	80.3	94.4	93.9	91.6	49.8	94.4	88.2	84.1	81.2	62.1	94.4	91.3	84.7	57.9	5.6	61.2	43
Wajir	91.0	90.8	86.2	79.1	39.2	91.7	87.4	77.0	64.5	55.8	83.8	82.4	74.1	49.5	6.6	58.6	54
Mandera	71.8	68.3	56.5	48.8	31.3	71.8	60.1	52.3	61.7	43.8	70.3	57.9	48.7	42.7	28.2	16.5	24
Eastern	98.7	99.0	98.2	93.6	71.8	99.2	97.5	92.1	92.1	85.9	94.6	93.7	89.6	81.5	0.5	85.3	431
Marsabit	92.6	96.4	93.4	85.7	41.2	99.0	95.6	88.3	76.8	70.8	94.7	92.2	84.6	67.5	1.0	80.5	16
Isiolo	96.4	98.6	96.5	94.4	72.0	98.6	95.9	93.7	86.5	83.3	94.9	93.8	92.0	82.3	1.4	89.0	20
Meru	99.2	100.0	100.0	93.6	69.0	100.0	100.0	92.4	91.3	88.4	97.2	97.2	89.1	83.9	0.0	89.9	95
Tharaka-Nithi	100.0	98.3	98.3	96.8	95.3	100.0	100.0	98.3	98.5	95.3	100.0	100.0	100.0	95.3	0.0	92.2	33
Embu	100.0	100.0	100.0	99.2	89.9	100.0	100.0	92.7	92.8	85.5	100.0	100.0	99.2	85.5	0.0	83.4	42
Kitui	96.1	96.1	93.1	81.5	42.7	97.7	93.1	81.9	84.9	69.3	81.0	78.1	69.2	56.8	2.3	85.3	76
Machakos	100.0	100.0	100.0	97.8	86.0	98.4	98.4	96.2	97.2	93.4	98.0	97.2	95.9	90.0	0.0	72.7	86
Makueni	100.0	100.0	100.0	99.1	75.6	100.0	96.2	95.3	96.8	92.0	96.2	95.3	95.3	89.7	0.0	93.1	63
Central	99.6	99.4	98.4	95.5	80.1	99.8	98.9	96.0	97.2	93.3	97.6	95.2	92.3	90.3	0.2	76.1	363
Nyandarua	100.0	100.0	98.1	90.8	84.9	100.0	98.1	94.6	95.1	86.2	98.0	89.7	84.9	81.4	0.0	81.3	53
Nyeri	98.7	97.2	97.2	94.9	84.4	100.0	100.0	95.1	92.7	87.8	94.4	93.1	89.1	84.3	0.0	82.2	59
Kirinyaga	'(100.0)	'(100.0)	'(100.0)	'(100.0)	'(60.3)	'(100.0)	'(100.0)	'(100.0)	'(100.0)	'(100.0)	'(92.3)	'(92.3)	'(92.3)	'(92.3)	'(0.0)	'(60.3)	31
Murang’a	99.0	99.0	95.7	89.9	78.0	99.0	95.7	89.9	97.3	88.2	97.3	92.0	89.9	86.4	1.0	74.3	70
Kiambu	100.0	100.0	100.0	99.0	81.8	100.0	100.0	99.0	99.0	99.0	100.0	100.0	97.2	97.2	0.0	76.1	150
Rift Valley	96.7	97.4	95.1	87.9	59.9	97.6	94.7	86.8	83.1	74.0	92.3	89.7	81.7	68.7	1.8	77.3	1,083
