Table 9.6C Assistance during delivery
Percent distribution of live births in the five years preceding the survey by person providing assistance during delivery, percentage of birth assisted by a skilled provider and percentage delivered by caesarean-section, according to county, Kenya 2014
County	Person providing assistance during delivery									Percentage delivered by a skilled provider1	Percentage delivered by C-section	Number of births
	Doctor	Nurse/midwife	Community health worker	Traditional birth attendant	Relative/friend	Other	No one	Don’t know/missing	Total
Coast	32.0	26.3	0.1	18.4	18.7	0.4	3.8	0.4	100.0	58.2	7.0	2,023
Mombasa	54.2	28.6	0.0	13.9	3.3	0.0	0.0	0.0	100.0	82.8	13.3	512
Kwale	12.8	37.3	0.3	17.6	21.6	0.9	8.4	1.0	100.0	50.1	5.3	427
Kilifi	38.2	14.0	0.2	10.8	31.4	0.1	4.9	0.3	100.0	52.3	4.4	739
Tana River	2.0	30.2	0.0	62.9	3.3	0.8	0.5	0.3	100.0	32.2	2.4	175
Lamu	9.3	38.0	0.0	44.8	5.0	1.8	0.9	0.2	100.0	47.3	7.3	56
Taita Taveta	20.7	41.8	0.0	9.7	24.2	0.6	3.1	0.0	100.0	62.5	8.7	113
North Eastern	7.2	25.1	0.5	64.2	1.5	0.1	0.1	1.2	100.0	32.4	2.9	650
Garissa	5.5	34.2	1.0	55.0	3.9	0.0	0.4	0.0	100.0	39.8	5.5	237
Wajir	1.2	20.5	0.0	76.5	0.0	0.3	0.0	1.4	100.0	21.7	1.3	258
Mandera	20.0	18.8	0.4	57.9	0.2	0.0	0.0	2.7	100.0	38.7	1.8	155
Eastern	22.1	41.2	0.2	19.8	12.2	0.5	3.7	0.3	100.0	63.3	11.7	2,321
Marsabit	4.4	21.4	0.5	64.0	7.3	0.9	1.4	0.0	100.0	25.8	2.3	91
Isiolo	14.4	29.4	0.0	45.8	6.8	1.7	1.8	0.2	100.0	43.8	6.9	85
Meru	28.0	54.7	0.0	1.3	10.0	0.2	5.4	0.3	100.0	82.8	18.5	517
Tharaka-Nithi	37.6	39.0	0.0	2.5	14.8	0.4	4.5	1.2	100.0	76.6	14.5	141
Embu	34.1	47.4	0.0	0.3	16.4	0.0	1.9	0.0	100.0	81.5	15.9	201
Kitui	16.6	29.6	0.2	24.3	25.9	0.0	3.5	0.0	100.0	46.2	5.4	438
Machakos	22.3	41.0	0.5	26.1	6.6	0.5	2.4	0.7	100.0	63.4	11.4	493
Makueni	13.6	41.0	0.3	32.7	5.6	1.8	5.1	0.0	100.0	54.6	9.9	355
