Table 17.20: New Identity Card Applications Made, Produced and Collected by County, 2013 - 2017
Number
2013	2014	2015	2016	2017* 2013	2014	2015	2016	2017* 2013	2014	2015	2016	2017*
Mombasa	23,104	17,318	20,817	24,046	21,640	41,549	15,653	15,176	26,165	23,255	22,104	17,859	13,500	22,966	24,165
Kwale	22,444	17,169	21,513	37,846	21,808	3,137	15,802	14,745	38,688	27,311	24,921	15,969	14,469	33,417	29,828
Kilifi	38,326	36,227	41,283	54,127	41,483	26,574	29,382	30,820	50,026	41,641	40,609	29,183	32,753	55,187	43,175
Tana River	11,450	4,803	9,149	12,301	6,850	9,572	4,471	5,022	10,196	9,577	5,987	5,152	4,685	6,481	11,533
Lamu	1,060	735	2,357	4,539	2,408	24,657	1,625	119	6,129	9,827	3,063	1,513	292	4,069	4,149
Taita Taveta	8,263	7,245	6,354	9,566	9,258	10,219	7,323	5,315	10,556	3,248	9,667	6,063	6,316	9,728	9,649
Garissa	5,154	6,879	8,060	19,831	6,242	4,088	4,476	4,563	13,813	18,341	4,966	2,832	3,842	7,785	8,781
Wajir	6,591	4,225	14,157	20,386	9,189	5,147	3,454	5,033	17,188	15,187	7,961	1,748	1,866	14,201	9,248
Mandera	8,845	675	26,585	16,901	13,563	5,935	2,147	2,694	33,518	18,977	5,832	1,778	2,678	24,926	8,539
Marsabit	7,551	8,282	8,882	11,667	6,656	8,258	7,307	5,053	12,930	10,599	7,368	5,665	5,090	9,858	7,513
Isiolo	3,926	2,071	2,717	3,728	3,446	3,501	1,620	1,554	4,094	5,414	3,042	1,687	1,429	2,221	5,131
Meru	43,069	30,646	39,380	73,747	25,892	43,118	27,523	30,079	70,354	47,667	34,093	24,221	22,634	36,206	24,309
Tharaka Nithi	7,115	7,457	14,468	20,736	7,557	9,702	7,451	7,321	21,680	9,805	7,672	6,438	4,702	18,920	9,284
Embu	12,870	12,329	13,467	26,404	13,670	10,178	10,752	12,021	24,742	15,929	15,783	10,623	10,714	17,101	17,011
Kitui	30,138	29,626	32,969	46,591	38,491	32,307	24,728	29,031	48,371	38,547	34,959	26,227	25,142	45,740	39,898
Machakos	32,532	29,781	31,036	41,294	37,870	31,998	23,555	24,259	36,323	37,535	32,689	24,875	23,522	30,487	37,450
Makueni	28,185	26,248	26,660	33,376	36,014	31,261	21,879	24,419	37,069	36,002	31,972	21,227	20,720	33,468	36,313
Nyandarua	11,425	15,526	15,340	29,285	21,095	16,258	12,113	13,881	25,114	21,368	14,449	12,867	13,301	22,892	21,335
Nyeri	12,614	16,950	17,641	30,081	18,006	20,730	13,660	16,273	26,764	19,628	16,648	15,137	15,933	23,090	17,865
Kirinyaga	9,602	12,102	11,623	27,517	16,164	14,327	9,455	11,578	21,869	18,733	7,970	9,395	10,173	15,581	16,186
Muranga	18,772	23,021	24,745	54,021	31,176	15,610	19,526	21,749	43,570	33,699	21,358	20,206	20,204	36,605	53,748
Kiambu	29,055	36,921	39,555	64,134	47,335	35,979	30,150	36,354	58,070	52,095	31,551	30,676	33,341	47,227	48,415
Turkana	10,397	14,162	24,058	26,556	18,396	15,262	11,546	14,232	15,026	15,567	11,534	6,118	10,386	16,611	13,721
West Pokot	11,895	12,363	16,323	34,517	19,050	18,051	6,762	5,865	29,275	22,019	13,898	5,698	5,433	23,094	23,039
Samburu	2,699	3,831	6,341	8,868	7,964	3,443	2,222	4,661	8,125	6,982	4,253	2,180	3,149	7,058	6,275
Trans Nzoia	16,104	20,593	23,499	28,092	30,731	20,378	14,679	15,952	28,586	31,169	17,841	10,635	15,014	23,019	26,701
Uasin Gishu	17,194	20,456	20,138	31,005	31,223	15,558	14,512	16,551	25,288	33,989	14,813	15,979	16,636	24,026	31,792
Elgeyo Marakwet	7,985	9,511	10,042	17,368	12,319	8,048	7,409	7,761	14,214	15,931	9,461	8,148	7,701	14,778	14,851
Nandi	11,508	9,339	21,113	32,215	29,253	15,194	10,507	13,946	22,143	33,559	13,960	8,284	12,944	20,637	31,696
Baringo	8,833	10,746	13,562	25,833	20,979	9,061	7,423	10,556	16,275	24,455	7,918	6,355	15,099	16,716	23,074
Laikipia	8,914	9,814	7,984	18,137	12,059	10,219	7,963	8,693	17,597	13,434	9,476	5,859	9,441	15,601	14,310
