Table 15.18: Adult Education Enrolment by Sex and County, 2015 - 2017
Male Female Total Male Female Total Male Female Total
Mombasa	1,303	2,246	3,549	498	1,265	1,763	1,434	2,213	3,647
Kwale	1,482	4,844	6,326	1,157	4,029	5,186	725	3,112	3,837
Kilifi	1,971	8,960	10,931	1,491	8,207	9,698	844	5,802	6,646
Tana River	1,727	4,477	6,204	1,206	3,771	4,977	899	2,271	3,170
Lamu	1,115	1,950	3,065	831	1,533	2,364	276	513	789
Taita/Taveta	1,142	2,621	3,763	661	1,060	1,721	518	1,395	1,913
Garissa	3,313	3,369	6,682	4,669	3,478	8,147	3,034	2,247	5,281
Wajir	1,684	1,825	3,509	1,379	1,326	2,705	1,350	1,316	2,666
Mandera	2,336	2,831	5,167	2,062	2,696	4,758	1,487	1,913	3,400
Marsabit	1,002	1,726	2,728	425	1,341	1,766	119	220	339
Isiolo	978	2,095	3,073	473	1,342	1,815	328	913	1,241
Meru	3,156	8,424	11,580	3,875	11,388	15,263	2,070	5,542	7,612
Tharaka Nithi	1,623	4,861	6,484	446	1,606	2,052	488	1,810	2,298
Embu	964	2,646	3,610	1,179	4,003	5,182	740	887	1,627
Kitui	2,239	9,192	11,431	2,039	9,710	11,749	1,385	6,990	8,375
Machakos	1,558	5,842	7,400	946	5,726	6,672	951	5,073	6,024
Makueni	1,665	7,083	8,748	1,641	9,135	10,776	1,978	7,725	9,703
Nyandarua	1,458	3,865	5,323	1,154	3,661	4,815	262	702	964
Nyeri	1,231	4,183	5,414	852	3,348	4,200	761	2,958	3,719
Kirinyaga	1,312	2,346	3,658	845	2,497	3,342	363	1,024	1,387
Murang'a	2,244	7,775	10,019	802	2,872	3,674	705	2,585	3,290
Kiambu	2,216	4,155	6,371	1,596	3,509	5,105	3,426	6,510	9,936
Turkana	1,688	2,279	3,967	2,890	3,992	6,882	1,900	2,483	4,383
West Pokot	1,981	2,486	4,467	1,264	1,518	2,782	1,060	1,491	2,551
Samburu	1,365	2,189	3,554	1,522	2,490	4,012	1,377	2,254	3,631
Transnzoia	1,446	2,040	3,486	960	2,255	3,215	688	983	1,671
Uasin Gishu	2,087	3,897	5,984	1,451	2,827	4,278	1,267	2,439	3,706
Elgeyo/Marakwet	1,568	2,857	4,425	2,143	2,518	4,661	1,827	3,671	5,498
Nandi	2,239	4,146	6,385	1,316	4,107	5,423	2,080	3,506	5,586
Baringo	2,860	4,963	7,823	1,798	3,210	5,008	1,705	2,800	4,505
Laikipia	1,378	2,822	4,200	1,036	2,665	3,701	757	2,145	2,902
Nakuru	9,137	5,945	15,082	7,290	4,109	11,399	3,602	5,707	9,309
Narok	1,881	2,657	4,538	1,457	2,018	3,475
Kajiado	1,624	2,505	4,129	2,680	3,972	6,652	2,021	5,444	7,465
Kericho	2,466	4,863	7,329	2,138	5,161	7,299	1,405	3,087	4,492
Bomet	1,771	4,392	6,163	927	2,551	3,478	645	1,556	2,201
Kakamega	1,260	2,372	3,632	2,057	4,510	6,567	914	2,417	3,331
Vihiga	1,602	4,032	5,634	1,442	5,228	6,670	607	2,142	2,749
Bungoma	3,189	5,187	8,376	3,049	4,643	7,692	832	1,294	2,126
Busia	1,606	3,772	5,378	1,504	3,810	5,314	1,259	3,093	4,352
Siaya	853	1,935	2,788	536	1,839	2,375	719	1,953	2,672
Kisumu	2,884	6,116	9,000	2,098	4,541	6,639	2,270	4,996	7,266
Homa Bay	3,126	7,893	11,019	2,935	7,770	10,705	1,937	4,729	6,666
Migori	2,393	5,086	7,479	1,955	4,089	6,044	1,018	3,739	4,757
Kisii	3,925	7,598	11,523	2,298	5,278	7,576	2,148	5,356	7,504
Nyamira	2,664	5,599	8,263	2,905	5,314	8,219	1,728	4,002	5,730
Nairobi City	7,364	9,205	16,569	5,697	8,276	13,973	5,679	7,628	13,307
TOTAL	102,076	204,152	306,228	85,575	186,194	271,769	63,588	142,636	206,224
Source: Directorate of Adult Education, Ministry of Education
*Provisional
.. Data not available
