Annex Table A1: Overall Poverty Estimates (individuals) by Place of residence and County, 2015/16



National	36.1	(0.51)	10.4	(0.19)	4.5	(0.11)	100.0	(0.00)	100.0	(0.00)	100.0	(0.00)	45,371	16,401
Rural	40.1	(0.59)	11.5	(0.23)	5.0	(0.14)	71.3	(0.88)	58.8	(1.24)	44.3	(1.57)	29,127	11,687
Peri-Urban	27.5	(1.21)	6.9	(0.39)	2.6	(0.19)	5.6	(0.29)	4.0	(0.26)	2.7	(0.22)	3,340	920
Core-Urban	29.4	(1.13)	8.9	(0.40)	3.9	(0.22)	23.1	(0.88)	37.1	(1.28)	53.0	(1.63)	12,905	3,795
Mombasa	27.1	(3.35)	7.5	(1.20)	3.3	(0.68)	2.0	(0.30)	2.9	(0.51)	4.0	(0.88)	1,185	321
Kwale	47.4	(3.22)	11.1	(1.02)	3.6	(0.45)	2.4	(0.23)	1.8	(0.21)	1.3	(0.20)	820	389
Kilifi	46.4	(3.53)	12.3	(1.53)	4.8	(0.82)	4.0	(0.45)	3.8	(0.74)	3.7	(1.00)	1,400	650
Tana River	62.2	(4.64)	20.0	(1.80)	9.3	(1.17)	1.2	(0.13)	1.3	(0.14)	1.4	(0.23)	304	189
Lamu	28.5	(3.33)	5.5	(0.92)	1.8	(0.44)	0.2	(0.03)	0.1	(0.02)	0.1	(0.02)	128	36
Taita/Taveta	32.3	(2.93)	7.7	(0.98)	2.7	(0.51)	0.7	(0.08)	0.5	(0.08)	0.4	(0.07)	358	116
Garissa	65.5	(3.27)	24.1	(1.55)	11.3	(0.97)	1.7	(0.13)	2.2	(0.19)	2.1	(0.23)	432	283
Wajir	62.6	(3.51)	16.3	(1.43)	6.7	(1.01)	1.8	(0.16)	1.4	(0.16)	1.2	(0.21)	459	287
Mandera	77.6	(2.64)	32.8	(1.67)	17.0	(1.15)	3.4	(0.26)	4.9	(0.43)	5.7	(0.66)	711	552
Marsabit	63.7	(3.03)	23.4	(1.51)	11.0	(0.97)	1.2	(0.11)	1.5	(0.14)	1.5	(0.17)	316	201
Isiolo	51.9	(3.10)	15.5	(1.48)	6.7	(0.99)	0.5	(0.05)	0.6	(0.09)	0.8	(0.18)	156	81
Meru	19.4	(2.54)	4.9	(0.78)	1.8	(0.34)	1.7	(0.25)	1.4	(0.23)	1.1	(0.23)	1,471	285
Tharaka-Nithi	23.6	(2.62)	3.8	(0.53)	1.0	(0.20)	0.6	(0.07)	0.3	(0.04)	0.1	(0.03)	396	94
Embu	28.2	(3.07)	6.4	(0.94)	2.3	(0.47)	1.0	(0.13)	0.7	(0.11)	0.5	(0.10)	560	158
Kitui	47.5	(2.99)	13.4	(1.12)	5.3	(0.59)	3.2	(0.29)	2.6	(0.28)	1.8	(0.23)	1,098	522
Machakos	23.3	(2.64)	5.7	(0.76)	2.2	(0.36)	1.7	(0.20)	1.4	(0.21)	1.3	(0.27)	1,191	278
Makueni	34.8	(2.77)	8.8	(0.93)	3.2	(0.44)	2.0	(0.20)	1.5	(0.19)	1.1	(0.17)	959	334
Nyandarua	34.8	(3.25)	7.2	(0.92)	2.3	(0.39)	1.5	(0.18)	0.9	(0.14)	0.6	(0.11)	686	239
Nyeri	19.3	(2.50)	2.4	(0.40)	0.5	(0.12)	0.9	(0.14)	0.4	(0.09)	0.3	(0.08)	798	154
Kirinyaga	20.0	(2.71)	3.5	(0.55)	1.0	(0.19)	0.7	(0.12)	0.4	(0.07)	0.3	(0.06)	608	122
