Table 3.3.1C Literacy: Women
Percent distribution of women age 15-49 by level of schooling attended and level of literacy, and percentage literate, according to county,Kenya 2014
County	Secondary school or higher	No schooling or primary school					Total	Percentage literate1	Number of women
		Can read a whole sentence	Can read part of a sentence	Cannot read at all	No card with required language	Blind/ visually impaired
Coast	31.5	42.9	5.8	19.3	0.0	0.2	100.0	80.2	3,076
Mombasa	48.5	39.2	4.9	6.5	0.0	0.2	100.0	92.6	912
Kwale	19.8	45.3	7.6	26.4	0.0	0.2	100.0	72.7	619
Kilifi	26.3	43.4	5.4	24.9	0.0	0.0	100.0	75.1	1,043
Tana River	11.5	34.9	7.0	45.0	0.0	1.4	100.0	53.5	197
Lamu	22.9	51.5	9.9	15.6	0.0	0.1	100.0	84.2	89
Taita Taveta	40.6	52.4	3.0	3.7	0.0	0.0	100.0	96.1	215
North Eastern	10.3	7.0	6.5	75.9	0.0	0.1	100.0	23.9	648
Garissa	12.0	7.3	7.1	73.2	0.0	0.2	100.0	26.3	261
Wajir	8.5	7.0	5.2	79.3	0.0	0.0	100.0	20.7	212
Mandera	10.0	6.7	7.4	75.7	0.0	0.0	100.0	24.0	175
Eastern	35.7	43.1	10.7	10.3	0.0	0.2	100.0	89.4	4,375
Marsabit	11.8	13.3	10.5	64.5	0.0	0.0	100.0	35.5	115
Isiolo	19.7	23.8	14.4	42.0	0.0	0.0	100.0	58.0	104
Meru	31.1	41.8	13.3	13.9	0.0	0.0	100.0	86.1	1,110
Tharaka-Nithi	33.7	40.2	10.1	15.2	0.0	0.2	100.0	84.1	275
Embu	40.9	47.5	7.0	4.4	0.0	0.0	100.0	95.4	459
Kitui	26.2	47.6	17.9	8.3	0.0	0.0	100.0	91.7	759
Machakos	47.0	40.8	7.5	3.9	0.0	0.8	100.0	95.3	873
Makueni	42.9	49.3	4.7	3.0	0.0	0.0	100.0	96.9	680
Central	54.7	34.3	5.9	4.4	0.0	0.1	100.0	94.9	3,994
Nyandarua	43.0	47.6	3.7	5.1	0.0	0.2	100.0	94.3	436
Nyeri	59.7	31.9	4.7	3.7	0.0	0.0	100.0	96.3	650
Kirinyaga	41.5	46.6	3.5	7.6	0.0	0.0	100.0	91.5	451
Murang’a	49.1	38.9	5.9	5.8	0.0	0.3	100.0	93.9	735
Kiambu	61.7	26.5	7.6	3.2	0.0	0.0	100.0	95.8	1,722
Rift Valley	40.3	35.8	8.3	15.2	0.0	0.1	100.0	84.5	7,953
Turkana	8.6	12.6	3.4	75.2	0.0	0.3	100.0	24.5	320
West Pokot	13.3	15.8	20.9	49.9	0.0	0.1	100.0	50.0	267
Samburu	16.0	12.9	11.2	59.3	0.3	0.0	100.0	40.1	123
Trans-Nzoia	35.2	43.9	6.5	14.2	0.0	0.1	100.0	85.6	768
Uasin Gishu	51.5	36.8	5.6	5.9	0.0	0.0	100.0	93.9	784
Elgeyo Marakwet	42.5	48.5	5.9	3.0	0.0	0.1	100.0	96.8	250
Nandi	37.5	47.3	13.6	1.4	0.0	0.2	100.0	98.4	628
Baringo	36.1	37.9	12.3	12.3	0.1	0.3	100.0	86.3	335
Laikipia	42.0	33.4	7.5	16.7	0.0	0.0	100.0	83.0	342
Nakuru	53.4	34.6	6.1	5.6	0.0	0.0	100.0	94.0	1,574
Narok	29.0	40.4	4.6	25.9	0.0	0.1	100.0	74.0	642
Kajiado	51.3	28.0	3.9	16.7	0.0	0.0	100.0	83.1	670
Kericho	42.7	34.3	12.3	9.8	0.0	0.7	100.0	89.3	563
Bomet	34.0	41.1	14.2	10.4	0.0	0.1	100.0	89.4	687
Western	36.8	43.4	9.8	9.1	0.0	0.6	100.0	90.1	3,225
Kakamega	38.8	48.5	4.8	6.8	0.0	1.1	100.0	92.1	1,108
Vihiga	43.0	43.6	6.5	6.7	0.0	0.0	100.0	93.1	368
Bungoma	38.1	38.4	12.2	10.5	0.1	0.3	100.0	88.7	1,203
Busia	25.6	44.2	17.2	12.3	0.0	0.7	100.0	87.0	546
Nyanza	39.9	40.2	11.6	7.7	0.0	0.4	100.0	91.7	4,038
Siaya	33.7	46.5	11.3	8.1	0.0	0.0	100.0	91.5	572
Kisumu	50.3	35.7	6.5	6.8	0.0	0.4	100.0	92.6	820
Homa Bay	31.1	45.1	17.6	5.6	0.0	0.6	100.0	93.8	798
Migori	23.5	51.8	10.3	13.2	0.0	0.8	100.0	85.7	650
Kisii	48.3	32.2	10.7	8.4	0.0	0.3	100.0	91.2	864
Nyamira	55.8	26.9	15.5	1.5	0.0	0.0	100.0	98.2	334
Nairobi	66.1	24.8	5.6	3.0	0.2	0.2	100.0	96.5	3,770
Total	42.7	36.8	8.3	11.7	0.0	0.2	100.0	87.8	31,079
Note: Totals may not add up to 100 percent because women with missing information are not shown separately.
1 Refers to women who attended secondary school or higher and women who can read a whole sentence or part of a sentence
