Annex Table B1: Food Poverty Estimates (individuals) by residence and County, 2015/16
residence /

National	32.0	(0.49)	9.2	(0.18)	3.9	(0.10)	100.0	(0.00)	100.0	(0.00)	100.0	(0.00)	45,371	14,539
Rural	35.8	(0.59)	10.3	(0.23)	4.4	(0.14)	71.7	(0.91)	67.3	(1.16)	62.8	(1.52)	29,127	10,419
Peri-Urban	28.9	(1.24)	7.4	(0.41)	2.9	(0.21)	6.6	(0.34)	5.6	(0.35)	4.7	(0.38)	3,340	965
Core-Urban	24.4	(1.05)	7.2	(0.35)	3.0	(0.18)	21.7	(0.90)	27.1	(1.17)	32.5	(1.54)	12,905	3,155
Mombasa	23.6	(2.98)	7.2	(1.06)	3.1	(0.59)	1.9	(0.29)	2.5	(0.41)	3.1	(0.61)	1,185	280
Kwale	41.1	(3.24)	10.4	(1.12)	3.6	(0.52)	2.3	(0.25)	2.0	(0.26)	1.6	(0.26)	820	337
Kilifi	48.4	(3.49)	12.6	(1.36)	4.9	(0.76)	4.7	(0.51)	4.3	(0.62)	3.9	(0.72)	1,400	678
Tana River	55.4	(4.61)	18.2	(2.13)	8.8	(1.32)	1.2	(0.14)	1.3	(0.20)	1.5	(0.27)	304	168
Lamu	19.9	(3.01)	4.8	(0.98)	1.8	(0.45)	0.2	(0.03)	0.1	(0.03)	0.1	(0.03)	128	25
Taita /Taveta	38.9	(3.10)	9.0	(1.13)	3.3	(0.62)	1.0	(0.10)	0.7	(0.11)	0.6	(0.12)	358	139
Garissa	45.2	(3.23)	14.4	(1.35)	6.5	(0.87)	1.3	(0.12)	1.5	(0.17)	1.6	(0.24)	432	195
Wajir	41.3	(3.53)	11.8	(1.43)	5.3	(0.98)	1.3	(0.14)	1.3	(0.17)	1.3	(0.25)	459	189
Mandera	61.9	(3.20)	26.4	(1.90)	14.2	(1.30)	3.0	(0.26)	4.5	(0.46)	5.6	(0.65)	711	440
Marsabit	55.6	(3.21)	17.9	(1.42)	8.0	(0.84)	1.2	(0.11)	1.3	(0.14)	1.4	(0.17)	316	176
Isiolo	34.2	(3.13)	9.2	(1.25)	3.5	(0.76)	0.4	(0.04)	0.4	(0.06)	0.4	(0.10)	156	53
Meru	15.5	(2.44)	3.8	(0.69)	1.4	(0.31)	1.6	(0.27)	1.3	(0.25)	1.1	(0.25)	1,471	228
Tharaka-Nithi	31.2	(3.14)	7.1	(0.80)	2.3	(0.36)	0.8	(0.11)	0.6	(0.08)	0.5	(0.08)	396	123
Embu	28.3	(3.18)	6.9	(1.18)	2.7	(0.71)	1.1	(0.15)	0.9	(0.17)	0.8	(0.21)	560	158
Kitui	39.4	(2.95)	12.5	(1.27)	5.7	(0.71)	3.0	(0.29)	3.1	(0.37)	3.1	(0.43)	1,098	432
Machakos	24.1	(2.58)	6.8	(0.87)	2.8	(0.45)	2.0	(0.21)	1.9	(0.25)	1.8	(0.29)	1,191	287
Makueni	30.7	(2.67)	9.1	(1.03)	3.8	(0.58)	2.0	(0.21)	2.0	(0.25)	1.8	(0.29)	959	295
Nyandarua	29.8	(3.23)	5.9	(0.86)	1.8	(0.34)	1.4	(0.19)	0.9	(0.15)	0.6	(0.12)	686	205
Nyeri	15.5	(2.27)	3.0	(0.54)	0.8	(0.16)	0.9	(0.14)	0.6	(0.11)	0.4	(0.08)	798	124
