Residence / County,Total Poverty Headcount Rate (%),Total Population (‘000),0 - 5 Years Poverty Headcount Rate (%),0 - 5 Years Population (‘000),6 - 13 Years Poverty Headcount Rate (%),6 - 13 Years Population (‘000),14 - 17 Years Poverty Headcount Rate (%),14 - 17 Years Population (‘000),0 - 17 Years Poverty Headcount Rate (%),0 - 17  Population (‘000)
Mombasa,23.6,"1,185",20.3,159,31.1,213,41.6,59,28.6,431
Kwale,41.1,820,45.6,151,43.1,197,45,82,44.3,430
Kilifi,48.4,"1,400",49.5,260,57.4,315,60.2,140,55.1,715
Tana River,55.4,304,47.1,58,62.2,80,66.1,31,57.8,169
Lamu,19.9,128,18.7,21,20.6,30,29.2,11,21.5,63
Taita / Taveta,38.9,358,31.1,50,47.7,74,60.4,33,45,156
Garissa,45.2,432,36.4,81,50.4,131,53.1,46,46.5,258
Wajir,41.3,459,31.4,108,39.9,131,55.3,46,39.2,284
Mandera,61.9,711,53.5,144,67.8,219,64.3,74,62.5,437
Marsabit,55.6,316,51.6,64,61.1,86,59.9,30,57.5,180
Isiolo,34.2,156,31.6,30,36.6,36,43.9,16,36.2,82
Meru,15.5,"1,471",14.3,196,21.2,303,16.1,137,18,636
Tharaka - Nithi,31.2,396,25.5,54,37.8,83,39.1,39,34.3,177
Embu,28.3,560,21.3,67,39.9,114,40.8,49,34.7,229
Kitui,39.4,"1,098",31.1,166,42.2,278,48.5,115,40.2,558
Machakos,24.1,"1,191",17.6,164,26.9,210,27.7,114,24,488
Makueni,30.7,959,27.3,135,36,211,37.3,113,33.8,459
Nyandarua,29.8,686,26,85,36.3,162,42,75,34.9,323
Nyeri,15.5,798,6.3,96,15.7,133,31.1,70,16.3,299
Kirinyaga,18.8,608,16.8,72,24.1,118,27,52,22.5,242
Murang'a,22.7,"1,085",18.9,145,23.8,218,33.4,99,24.3,462
Kiambu,23.5,"1,868",24.7,236,27.3,317,34.9,167,28.2,721
Turkana,66.1,"1,084",66.4,232,71.2,286,70.1,96,69.2,613
West Pokot,57.3,649,49,136,63.7,170,66.4,70,58.9,375
samburu,60.1,284,52.8,64,69.4,78,71.7,27,63.5,169
Trans Nzoia,33.3,"1,038",33.6,166,37.6,246,39.8,112,36.8,525
Uasin Gishu,38.2,"1,133",37.5,184,45.3,241,48.1,111,43.2,535
Elgeyo/ Marakwet,44.8,469,37.7,79,49.4,104,60.8,47,47.7,231
Nandi,31.5,954,29,153,27.2,209,43.3,100,31.3,463
baringo,41.4,704,33.1,116,40.5,170,61.5,77,42.5,363
Laikipia,28.5,507,23.4,75,33.1,125,39.8,49,31.5,249
Nakuru,19.6,"2,031",15.1,323,23.9,495,27.1,165,21.5,984
Narok,22.1,"1,078",18.9,237,24.3,277,32.2,100,23.5,615
Kajiado,36.9,871,36.7,143,43.6,175,50.7,70,42.4,389
Kericho,31.4,945,22.7,134,34.2,228,40.4,89,32,451
bomet,32.8,916,26.2,157,36.7,248,46.2,91,35.1,496
Kakamega,33.3,"1,876",29.3,325,37.2,460,40.2,224,35.4,"1,009"
Vihiga,36.6,627,37.4,85,39.1,156,41.5,66,39.1,307
bungoma,32.4,"1,553",27.2,288,35.4,398,41.6,188,34,873
busia,59.5,840,55.3,138,64.6,220,66.1,97,62.1,456
siaya,27.3,985,27.4,166,29.9,237,33.8,113,29.9,516
Kisumu,32.5,"1,132",29,182,38,271,45.8,100,36.4,553
homa bay,22.7,"1,072",18.7,217,25.9,294,26.8,110,23.5,622
Migori,32,"1,126",28.4,185,34.6,304,32.7,149,32.4,638
Kisii,44.5,"1,347",41.3,210,49.2,328,54.5,139,47.9,678
Nyamira,36.3,699,30,100,39.9,167,44.6,74,38,341
Nairobi City,16.1,"4,463",11.7,717,21.1,640,32.1,225,18.4,"1,582"
