Mombasa,"26,761",79.7,"26,200",72.8,"31,662",86.9,"29,963",78.7,"28,782",74.3,,,,,,,,,,
Kwale,"23,438",85.2,"24,185",66.5,"28,033",98.2,"23,825",80,"18,609",58.8,,,,,,,,,,
Kilifi,"37,051",80.9,"36,522",96,"38,844",81.3,"36,866",74.1,"29,022",55.1,,,,,,,,,,
Tana River,"6,553",57.1,"6,501",56.1,"6,340",60.1,"6,670",60.8,"6,343",48.1,,,,,,,,,,
Lamu,"2,990",83.2,"3,462",86.5,"3,504",90.3,"3,012",74.9,"2,916",70.4,,,,,,,,,,
Taita Taveta,"6,886",77.6,"8,003",62.6,"7,617",82.1,"7,074",72.4,"6,369",62.6,,,,,,,,,,
Garissa,"11,768",129.7,"15,157",61.9,"14,555",61.5,"15,852",64.6,"13,294",55.2,,,,,,,,,,
Wajir,"10,706",139.6,"12,352",47.8,"14,154",55.2,"13,510",50.9,"12,333",48.6,,,,,,,,,,
Mandera,"7,813",69.9,"10,212",20.4,"11,137",26.9,"12,790",25.2,"11,303",25.4,,,,,,,,,,
Marsabit,"7,671",92.7,"9,425",71.7,"9,384",71.9,"8,786",71.3,"7,235",56.3,,,,,,,,,,
Isiolo,"4,255",89.6,"4,136",61.3,"4,240",65.7,"3,797",56.2,"3,131",46.3,,,,,,,,,,
Meru,"24,105",59.3,"28,522",57.9,"27,860",64.6,"26,719",60.4,"24,716",58.2,,,,,,,,,,
Tharaka Nithi,"8,748",82.8,"7,357",47.7,"7,031",60.2,"6,557",56.8,"6,301",57.1,,,,,,,,,,
Embu,"13,193",96.1,"11,878",73.3,"12,303",84.3,"11,698",78.8,"11,652",81.3,,,,,,,,,,
Kitui,"24,480",72.2,"28,282",69.6,"25,160",74,"23,388",67.8,"23,165",65.2,,,,,,,,,,
Machakos,"25,828",83.8,"27,266",77.7,"27,216",78.7,"27,017",79.3,"24,699",76.7,,,,,,,,,,
Makueni,"20,361",79.7,"23,603",81,"21,983",84,"21,983",80.6,"20,561",76.9,,,,,,,,,,
Nyandarua,"12,919",69.5,"15,030",85.5,"15,129",85.7,"14,237",79.2,"12,348",65.5,,,,,,,,,,
Nyeri,"13,780",77,"15,212",76,"15,031",101,"14,137",94,"13,620",75,,,,,,,,,,
Kirinyaga,"11,169",80,"11,166",85,"11,662",88,"11,699",86,"11,341",79.9,,,,,,,,,,
Muranga,"14,476",56.1,"21,316",85.6,"20,553",85.2,"18,587",79.6,"17,658",67.4,,,,,,,,,,
Kiambu,"34,402",67.6,"45,881",92.3,"48,728",100.7,"51,009",104.3,"53,339",102.9,,,,,,,,,,
Turkana,"15,248",66.5,"20,390",75,"18,862",64.1,"22,512",71.8,"23,111",88.3,,,,,,,,,,
West Pokot,"11,812",48.4,"14,819",63.3,"13,738",65.6,"11,802",54.5,"10,957",39.5,,,,,,,,,,
Samburu,"5,313",52.9,"5,797",61.3,"5,531",57.7,"5,464",55.2,"5,402",47.3,,,,,,,,,,
Trans Nzoia,"18,880",55,"22,188",59.8,"23,348",57.7,"23,895",56.8,"17,113",43.6,,,,,,,,,,
Uasin Gishu,"24,653",74,"26,780",74,"27,980",72,"27,539",65,"28,595",74.7,,,,,,,,,,
Elgeyo Marakwet,"10,310",66,"12,280",76,"12,006",73,"11,087",64,"9,776",55,,,,,,,,,,
Nandi,"20,009",70.6,"22,971",67.5,"21,417",60.4,"18,260",50.5,"18,952",58.5,,,,,,,,,,
Baringo,"14,258",64.8,"15,793",58.7,"14,526",58.8,"14,852",57.7,"13,875",55.4,,,,,,,,,,
Laikipia,"11,755",84.3,"11,453",61.9,"12,944",68.9,"12,512",56.2,"12,623",79.1,,,,,,,,,,
Nakuru,"46,781",79.2,"54,150",89.3,"53,867",88,"51,329",80.9,"57,324",84.7,,,,,,,,,,
Narok,"24,394",57,"26,216",80,"24,405",62.6,"26,092",70.6,"22,659",46.5,,,,,,,,,,
Kajiado,"16,352",58.4,"22,999",69.6,"22,941",74.6,"26,857",83.4,"24,007",74.7,,,,,,,,,,
Kericho,"14,727",52.5,"20,908",63.6,"19,166",59.1,"18,075",56.1,"16,082",51.5,,,,,,,,,,
Bomet,"17,144",58.3,"19,785",53.8,"19,372",60.9,"19,231",58.7,"20,015",60.3,,,,,,,,,,
Kakamega,"56,899",85.9,"59,438",79.4,"54,651",78.7,"53,736",75.2,"47,725",69.3,,,,,,,,,,
Vihiga,"18,439",95.6,"17,701",84.6,"17,339",79.3,"16,326",71.7,"10,649",53.1,,,,,,,,,,
Bungoma,"40,314",60.5,"46,262",76,"44,131",71.3,"39,143",61,"34,836",59.6,,,,,,,,,,
Busia,"23,046",117.1,"27,593",82.6,"22,732",73.1,"20,998",69.5,"17,342",55.6,,,,,,,,,,
Kisumu,"27,079",74.2,"29,981",75.8,"30,178",78,"31,865",80.5,"28,088",68.4,,,,,,,,,,
Siaya,"24,423",76.6,"26,870",76.5,"25,838",78.7,"26,045",77.2,"22,757",63.6,,,,,,,,,,
Homabay,"31,377",80.5,"30,786",67.2,"28,540",66.4,"30,914",70.2,"25,447",58.1,,,,,,,,,,
Migori,"33,142",80.9,"33,624",75.8,"34,976",76.9,"35,549",73.9,"29,626",64.3,,,,,,,,,,
Kisii,"31,422",73.7,"34,341",81.5,"32,567",65.4,"30,983",62,"24,396",50.9,,,,,,,,,,
Nyamira,"20,032",97,"20,690",98,"20,040",90,"20,429",89,"15,509",66.8,,,,,,,,,,
Nairobi City,"96,196",75,"113,328",73,"109,967",77,"116,608",75,"119,291",84,,,,,,,,,,
