Residence / County,Individuals ('000),Adult Equivalents ('000),Households ('000)
Mombasa,"1,185",997,397
Kwale,820,637,174
Kilifi,"1,400","1,098",326
Tana River,304,234,56
Lamu,128,102,30
Taita /Taveta,358,295,102
Garissa,432,326,78
Wajir,459,334,69
Mandera,711,528,111
Marsabit,316,240,62
Isiolo,156,122,34
Meru,"1,471","1,215",393
Tharaka-Nithi,396,326,107
Embu,560,470,164
Kitui,"1,098",878,236
Machakos,"1,191",995,328
Makueni,959,784,233
Nyandarua,686,563,191
Nyeri,798,678,271
Kirinyag’a,608,515,198
Murang'a,"1,085",903,323
Kiambu,"1,868","1,575",600
Turkana,"1,084",816,246
West Pokot,649,489,119
samburu,284,209,61
Trans Nzoia,"1,038",828,210
Uasin Gishu,"1,133",911,270
Elgeyo / Marakwet,469,374,99
Nandi,954,768,202
baringo,704,556,152
Laikipia,507,406,135
Nakuru,"2,031","1,620",578
Narok,"1,078",808,223
Kajiado,871,704,250
Kericho,945,765,211
bomet,916,714,179
Kakamega,"1,876","1,476",392
Vihiga,627,509,144
bungoma,"1,553","1,197",321
busia,840,661,177
siaya,985,782,246
Kisumu,"1,132",904,284
homa bay,"1,072",812,224
Migori,"1,126",881,233
Kisii,"1,347","1,081",290
Nyamira,699,565,179
Nairobi City,"4,463","3,727","1,503"
