Residence / County,Purchases,Stock,Own production,Gifts,Total
Mombasa,88.9,7.5,0.4,3,100
Kwale,70.9,4.8,20.7,3.6,100
Kilifi,70,7.5,15.5,7,100
Tana River,81.1,4.7,9,5.1,100
Lamu,76.3,6,13.2,4.6,100
Taita/Taveta,63.1,8.8,22.1,5.5,100
Garissa,38,47.2,9.8,5,100
Wajir,68.9,18.8,10.1,2.3,100
Mandera,75.3,5.2,10.6,9,100
Marsabit,67.3,11.5,13.4,7.5,100
Isiolo,71.7,12.9,9.4,6,100
Meru,61.9,9.4,21.9,6.8,100
Tharaka-Nithi,49.3,8.3,32.8,9.6,100
Embu,58.9,9,25.6,6.5,100
Kitui,56.9,6.5,31.7,4.8,100
Machakos,73.7,8.1,15.6,2.7,100
Makueni,60.8,5.7,30.4,3.1,100
Nyandarua,58.7,7.1,28.4,5.9,100
Nyeri,61.2,10.3,20.8,7.7,100
Kirinyaga,68.4,10.3,15.5,5.6,100
Murang'a,59.2,8.2,27,5.6,100
Kiambu,83.8,6.6,7.6,1.9,100
Turkana,63.2,13.8,7,16,100
West Pokot,44.4,14.8,34.1,6.7,100
samburu,56.4,11.4,21.1,11,100
Trans Nzoia,59.8,10.5,21.4,8.4,100
Uasin Gishu,66.6,6.7,23.2,3.5,100
Elgeyo / Marakwet,48.2,11.7,35.6,4.5,100
Nandi,60.7,6.8,28.4,4,100
baringo,68.6,4.8,21.5,5.1,100
Laikipia,66.7,11.7,15,6.6,100
Nakuru,71.7,8.7,16.2,3.4,100
Narok,62.7,5.8,28.6,2.9,100
Kajiado,83.5,6,7.8,2.6,100
Kericho,55.1,9.5,31.1,4,100
bomet,56.4,10.6,28.6,4.4,100
Kakamega,59.3,5,28.8,6.8,100
Vihiga,60.6,4.7,29.3,5.2,100
bungoma,67.1,5.9,22.1,4.7,100
busia,52.9,2.2,38.1,6.8,100
siaya,57.4,5.2,28.5,9,100
Kisumu,83.7,3.2,8.9,4.2,100
homa bay,56,9.4,17.6,17,100
Migori,54.9,8,32.4,4.3,100
Kisii,60.9,9,25.5,4.5,100
Nyamira,46.5,18.3,26.8,8.4,100
Nairobi City,86.7,9.2,1.6,2.6,100
