"TableTitle"	"Variable"	"Units"	"Year"	"Residence"	"Time.to.obtain.drinking.water..round.trip."	"Value"	"Number.of.households"
"Table 2.1 Household drinking water"	"Percent distribution of households by time to obtain drinking water"	"percent"	"2014"	"Rural"	"30 minutes or longer"		
"Table 2.1 Household drinking water"	"Percent distribution of households by time to obtain drinking water"	"percent"	"2014"	"Rural"	"Donâ€™t know/missing"		
"Table 2.1 Household drinking water"	"Percent distribution of households by time to obtain drinking water"	"percent"	"2014"	"Rural"	"Less than 30 minutes"		
"Table 2.1 Household drinking water"	"Percent distribution of households by time to obtain drinking water"	"percent"	"2014"	"Rural"	"Total"		
"Table 2.1 Household drinking water"	"Percent distribution of households by time to obtain drinking water"	"percent"	"2014"	"Rural"	"Water on premises"		
"Table 2.1 Household drinking water"	"Percent distribution of households by time to obtain drinking water"	"percent"	"2014"	"Total"	"30 minutes or longer"		
"Table 2.1 Household drinking water"	"Percent distribution of households by time to obtain drinking water"	"percent"	"2014"	"Total"	"Donâ€™t know/missing"		
"Table 2.1 Household drinking water"	"Percent distribution of households by time to obtain drinking water"	"percent"	"2014"	"Total"	"Less than 30 minutes"		
"Table 2.1 Household drinking water"	"Percent distribution of households by time to obtain drinking water"	"percent"	"2014"	"Total"	"Total"		
"Table 2.1 Household drinking water"	"Percent distribution of households by time to obtain drinking water"	"percent"	"2014"	"Total"	"Water on premises"		
"Table 2.1 Household drinking water"	"Percent distribution of households by time to obtain drinking water"	"percent"	"2014"	"Urban"	"30 minutes or longer"		
"Table 2.1 Household drinking water"	"Percent distribution of households by time to obtain drinking water"	"percent"	"2014"	"Urban"	"Donâ€™t know/missing"		
"Table 2.1 Household drinking water"	"Percent distribution of households by time to obtain drinking water"	"percent"	"2014"	"Urban"	"Less than 30 minutes"		
"Table 2.1 Household drinking water"	"Percent distribution of households by time to obtain drinking water"	"percent"	"2014"	"Urban"	"Total"		
"Table 2.1 Household drinking water"	"Percent distribution of households by time to obtain drinking water"	"percent"	"2014"	"Urban"	"Water on premises"		
