"TableTitle"	"Variable"	"Units"	"Year"	"Age.group"	"Education.level"	"Residence"	"Region"	"Wealth.quintle"	"Value"
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Rural"	"Central"	"Fourth"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Rural"	"Central"	"Highest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Rural"	"Central"	"Lowest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Rural"	"Central"	"Middle"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Rural"	"Central"	"Second"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Rural"	"Central"	"Total"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Rural"	"Coast"	"Fourth"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Rural"	"Coast"	"Highest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Rural"	"Coast"	"Lowest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Rural"	"Coast"	"Middle"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Rural"	"Coast"	"Second"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Rural"	"Coast"	"Total"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Rural"	"Eastern"	"Fourth"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Rural"	"Eastern"	"Highest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Rural"	"Eastern"	"Lowest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Rural"	"Eastern"	"Middle"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Rural"	"Eastern"	"Second"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Rural"	"Eastern"	"Total"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Rural"	"Nairobi"	"Fourth"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Rural"	"Nairobi"	"Highest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Rural"	"Nairobi"	"Lowest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Rural"	"Nairobi"	"Middle"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Rural"	"Nairobi"	"Second"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Rural"	"Nairobi"	"Total"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Rural"	"North Eastern"	"Fourth"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Rural"	"North Eastern"	"Highest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Rural"	"North Eastern"	"Lowest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Rural"	"North Eastern"	"Middle"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Rural"	"North Eastern"	"Second"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Rural"	"North Eastern"	"Total"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Rural"	"Nyanza"	"Fourth"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Rural"	"Nyanza"	"Highest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Rural"	"Nyanza"	"Lowest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Rural"	"Nyanza"	"Middle"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Rural"	"Nyanza"	"Second"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Rural"	"Nyanza"	"Total"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Rural"	"Rift Valley"	"Fourth"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Rural"	"Rift Valley"	"Highest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Rural"	"Rift Valley"	"Lowest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Rural"	"Rift Valley"	"Middle"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Rural"	"Rift Valley"	"Second"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Rural"	"Rift Valley"	"Total"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Rural"	"Total"	"Fourth"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Rural"	"Total"	"Highest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Rural"	"Total"	"Lowest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Rural"	"Total"	"Middle"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Rural"	"Total"	"Second"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Rural"	"Total"	"Total"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Rural"	"Western"	"Fourth"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Rural"	"Western"	"Highest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Rural"	"Western"	"Lowest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Rural"	"Western"	"Middle"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Rural"	"Western"	"Second"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Rural"	"Western"	"Total"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Total"	"Central"	"Fourth"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Total"	"Central"	"Highest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Total"	"Central"	"Lowest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Total"	"Central"	"Middle"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Total"	"Central"	"Second"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Total"	"Central"	"Total"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Total"	"Coast"	"Fourth"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Total"	"Coast"	"Highest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Total"	"Coast"	"Lowest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Total"	"Coast"	"Middle"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Total"	"Coast"	"Second"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Total"	"Coast"	"Total"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Total"	"Eastern"	"Fourth"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Total"	"Eastern"	"Highest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Total"	"Eastern"	"Lowest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Total"	"Eastern"	"Middle"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Total"	"Eastern"	"Second"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Total"	"Eastern"	"Total"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Total"	"Nairobi"	"Fourth"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Total"	"Nairobi"	"Highest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Total"	"Nairobi"	"Lowest"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Total"	"Nairobi"	"Middle"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Total"	"Nairobi"	"Second"	
"Table 2.14 School attendance ratios"	"Gender Parity Index of net attendance ratio"	"ratio"	"2014"	"14-17"	"Primary"	"Total"	"Nairobi"	"Total"	
