"TableTitle"	"Variable"	"Units"	"Year"	"Age.group"	"Sex"	"Residence"	"Value"	"Number.of.persons"
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"<5"	"Female"	"Rural"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"<5"	"Female"	"Total"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"<5"	"Female"	"Urban"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"<5"	"Male"	"Rural"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"<5"	"Male"	"Total"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"<5"	"Male"	"Urban"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"<5"	"Total"	"Rural"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"<5"	"Total"	"Total"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"<5"	"Total"	"Urban"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"10-14"	"Female"	"Rural"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"10-14"	"Female"	"Total"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"10-14"	"Female"	"Urban"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"10-14"	"Male"	"Rural"		
"Table 2.8 Household population by age, sex, and residence"	"Percent distribution of the de facto household population by age, sex, and residence"	"percent"	"2014"	"10-14"	"Male"	"Total"		
