"TableTitle"	"Variable"	"Units"	"Year"	"Residence"	"Region"	"Wealth.quintle"	"Value"	"Number.of.households.with.total.coping.strategy.index.greater.than.zero"
"Table 2.6 Food security status"	"Mean coping strategy index"	"index [0-100]"	"2014"	"Rural"	"Central"	"Fourth"		
"Table 2.6 Food security status"	"Mean coping strategy index"	"index [0-100]"	"2014"	"Rural"	"Central"	"Highest"		
"Table 2.6 Food security status"	"Mean coping strategy index"	"index [0-100]"	"2014"	"Rural"	"Central"	"Lowest"		
"Table 2.6 Food security status"	"Mean coping strategy index"	"index [0-100]"	"2014"	"Rural"	"Central"	"Middle"		
"Table 2.6 Food security status"	"Mean coping strategy index"	"index [0-100]"	"2014"	"Rural"	"Central"	"Second"		
"Table 2.6 Food security status"	"Mean coping strategy index"	"index [0-100]"	"2014"	"Rural"	"Central"	"Total"		
"Table 2.6 Food security status"	"Mean coping strategy index"	"index [0-100]"	"2014"	"Rural"	"Coast"	"Fourth"		
"Table 2.6 Food security status"	"Mean coping strategy index"	"index [0-100]"	"2014"	"Rural"	"Coast"	"Highest"		
"Table 2.6 Food security status"	"Mean coping strategy index"	"index [0-100]"	"2014"	"Rural"	"Coast"	"Lowest"		
"Table 2.6 Food security status"	"Mean coping strategy index"	"index [0-100]"	"2014"	"Rural"	"Coast"	"Middle"		
"Table 2.6 Food security status"	"Mean coping strategy index"	"index [0-100]"	"2014"	"Rural"	"Coast"	"Second"		
"Table 2.6 Food security status"	"Mean coping strategy index"	"index [0-100]"	"2014"	"Rural"	"Coast"	"Total"		
"Table 2.6 Food security status"	"Mean coping strategy index"	"index [0-100]"	"2014"	"Rural"	"Eastern"	"Fourth"		
"Table 2.6 Food security status"	"Mean coping strategy index"	"index [0-100]"	"2014"	"Rural"	"Eastern"	"Highest"		
"Table 2.6 Food security status"	"Mean coping strategy index"	"index [0-100]"	"2014"	"Rural"	"Eastern"	"Lowest"		
"Table 2.6 Food security status"	"Mean coping strategy index"	"index [0-100]"	"2014"	"Rural"	"Eastern"	"Middle"		
"Table 2.6 Food security status"	"Mean coping strategy index"	"index [0-100]"	"2014"	"Rural"	"Eastern"	"Second"		
"Table 2.6 Food security status"	"Mean coping strategy index"	"index [0-100]"	"2014"	"Rural"	"Eastern"	"Total"		
"Table 2.6 Food security status"	"Mean coping strategy index"	"index [0-100]"	"2014"	"Rural"	"Nairobi"	"Fourth"		
