"TableTitle"	"Variable"	"Units"	"Year"	"Residence"	"Frequency.of.smoking.in.the.home"	"Value"	"Number.of.households"
"Table 2.3 Household characteristics"	"Percent of households by frequency of smoking in the home"	"percent"	"2014"	"Rural"	"Daily"		
"Table 2.3 Household characteristics"	"Percent of households by frequency of smoking in the home"	"percent"	"2014"	"Rural"	"Less than monthly"		
"Table 2.3 Household characteristics"	"Percent of households by frequency of smoking in the home"	"percent"	"2014"	"Rural"	"Monthly"		
"Table 2.3 Household characteristics"	"Percent of households by frequency of smoking in the home"	"percent"	"2014"	"Rural"	"Never"		
"Table 2.3 Household characteristics"	"Percent of households by frequency of smoking in the home"	"percent"	"2014"	"Rural"	"Total"		
"Table 2.3 Household characteristics"	"Percent of households by frequency of smoking in the home"	"percent"	"2014"	"Rural"	"Weekly"		
"Table 2.3 Household characteristics"	"Percent of households by frequency of smoking in the home"	"percent"	"2014"	"Total"	"Daily"		
"Table 2.3 Household characteristics"	"Percent of households by frequency of smoking in the home"	"percent"	"2014"	"Total"	"Less than monthly"		
"Table 2.3 Household characteristics"	"Percent of households by frequency of smoking in the home"	"percent"	"2014"	"Total"	"Monthly"		
"Table 2.3 Household characteristics"	"Percent of households by frequency of smoking in the home"	"percent"	"2014"	"Total"	"Never"		
"Table 2.3 Household characteristics"	"Percent of households by frequency of smoking in the home"	"percent"	"2014"	"Total"	"Total"		
"Table 2.3 Household characteristics"	"Percent of households by frequency of smoking in the home"	"percent"	"2014"	"Total"	"Weekly"		
"Table 2.3 Household characteristics"	"Percent of households by frequency of smoking in the home"	"percent"	"2014"	"Urban"	"Daily"		
"Table 2.3 Household characteristics"	"Percent of households by frequency of smoking in the home"	"percent"	"2014"	"Urban"	"Less than monthly"		
"Table 2.3 Household characteristics"	"Percent of households by frequency of smoking in the home"	"percent"	"2014"	"Urban"	"Monthly"		
"Table 2.3 Household characteristics"	"Percent of households by frequency of smoking in the home"	"percent"	"2014"	"Urban"	"Never"		
"Table 2.3 Household characteristics"	"Percent of households by frequency of smoking in the home"	"percent"	"2014"	"Urban"	"Total"		
"Table 2.3 Household characteristics"	"Percent of households by frequency of smoking in the home"	"percent"	"2014"	"Urban"	"Weekly"		
