"TableTitle"	"Variable"	"Units"	"Year"	"Sex.of.household.headship"	"Residence"	"Household.size..number.of.usual.members."	"Value"	"Number.of.households"
"Table 2.9 Household composition"	"Percent distribution of households by sex of head of household and by household size"	"percent"	"2014"	"Female"	"Rural"	"0"		
"Table 2.9 Household composition"	"Percent distribution of households by sex of head of household and by household size"	"percent"	"2014"	"Female"	"Rural"	"1"		
"Table 2.9 Household composition"	"Percent distribution of households by sex of head of household and by household size"	"percent"	"2014"	"Female"	"Rural"	"2"		
"Table 2.9 Household composition"	"Percent distribution of households by sex of head of household and by household size"	"percent"	"2014"	"Female"	"Rural"	"3"		
"Table 2.9 Household composition"	"Percent distribution of households by sex of head of household and by household size"	"percent"	"2014"	"Female"	"Rural"	"4"		
"Table 2.9 Household composition"	"Percent distribution of households by sex of head of household and by household size"	"percent"	"2014"	"Female"	"Rural"	"5"		
"Table 2.9 Household composition"	"Percent distribution of households by sex of head of household and by household size"	"percent"	"2014"	"Female"	"Rural"	"6"		
"Table 2.9 Household composition"	"Percent distribution of households by sex of head of household and by household size"	"percent"	"2014"	"Female"	"Rural"	"7"		
"Table 2.9 Household composition"	"Percent distribution of households by sex of head of household and by household size"	"percent"	"2014"	"Female"	"Rural"	"8"		
"Table 2.9 Household composition"	"Percent distribution of households by sex of head of household and by household size"	"percent"	"2014"	"Female"	"Rural"	"9+"		
"Table 2.9 Household composition"	"Percent distribution of households by sex of head of household and by household size"	"percent"	"2014"	"Female"	"Rural"	"Total"		
"Table 2.9 Household composition"	"Percent distribution of households by sex of head of household and by household size"	"percent"	"2014"	"Female"	"Total"	"0"		
"Table 2.9 Household composition"	"Percent distribution of households by sex of head of household and by household size"	"percent"	"2014"	"Female"	"Total"	"1"		
"Table 2.9 Household composition"	"Percent distribution of households by sex of head of household and by household size"	"percent"	"2014"	"Female"	"Total"	"2"		
"Table 2.9 Household composition"	"Percent distribution of households by sex of head of household and by household size"	"percent"	"2014"	"Female"	"Total"	"3"		
"Table 2.9 Household composition"	"Percent distribution of households by sex of head of household and by household size"	"percent"	"2014"	"Female"	"Total"	"4"		
"Table 2.9 Household composition"	"Percent distribution of households by sex of head of household and by household size"	"percent"	"2014"	"Female"	"Total"	"5"		
"Table 2.9 Household composition"	"Percent distribution of households by sex of head of household and by household size"	"percent"	"2014"	"Female"	"Total"	"6"		
"Table 2.9 Household composition"	"Percent distribution of households by sex of head of household and by household size"	"percent"	"2014"	"Female"	"Total"	"7"		
"Table 2.9 Household composition"	"Percent distribution of households by sex of head of household and by household size"	"percent"	"2014"	"Female"	"Total"	"8"		
"Table 2.9 Household composition"	"Percent distribution of households by sex of head of household and by household size"	"percent"	"2014"	"Female"	"Total"	"9+"		
"Table 2.9 Household composition"	"Percent distribution of households by sex of head of household and by household size"	"percent"	"2014"	"Female"	"Total"	"Total"		
"Table 2.9 Household composition"	"Percent distribution of households by sex of head of household and by household size"	"percent"	"2014"	"Female"	"Urban"	"0"		
"Table 2.9 Household composition"	"Percent distribution of households by sex of head of household and by household size"	"percent"	"2014"	"Female"	"Urban"	"1"		
"Table 2.9 Household composition"	"Percent distribution of households by sex of head of household and by household size"	"percent"	"2014"	"Female"	"Urban"	"2"		
"Table 2.9 Household composition"	"Percent distribution of households by sex of head of household and by household size"	"percent"	"2014"	"Female"	"Urban"	"3"		
"Table 2.9 Household composition"	"Percent distribution of households by sex of head of household and by household size"	"percent"	"2014"	"Female"	"Urban"	"4"		
"Table 2.9 Household composition"	"Percent distribution of households by sex of head of household and by household size"	"percent"	"2014"	"Female"	"Urban"	"5"		
"Table 2.9 Household composition"	"Percent distribution of households by sex of head of household and by household size"	"percent"	"2014"	"Female"	"Urban"	"6"		
"Table 2.9 Household composition"	"Percent distribution of households by sex of head of household and by household size"	"percent"	"2014"	"Female"	"Urban"	"7"		
"Table 2.9 Household composition"	"Percent distribution of households by sex of head of household and by household size"	"percent"	"2014"	"Female"	"Urban"	"8"		
"Table 2.9 Household composition"	"Percent distribution of households by sex of head of household and by household size"	"percent"	"2014"	"Female"	"Urban"	"9+"		
"Table 2.9 Household composition"	"Percent distribution of households by sex of head of household and by household size"	"percent"	"2014"	"Female"	"Urban"	"Total"		
"Table 2.9 Household composition"	"Percent distribution of households by sex of head of household and by household size"	"percent"	"2014"	"Male"	"Rural"	"0"		
"Table 2.9 Household composition"	"Percent distribution of households by sex of head of household and by household size"	"percent"	"2014"	"Male"	"Rural"	"1"		
"Table 2.9 Household composition"	"Percent distribution of households by sex of head of household and by household size"	"percent"	"2014"	"Male"	"Rural"	"2"		
"Table 2.9 Household composition"	"Percent distribution of households by sex of head of household and by household size"	"percent"	"2014"	"Male"	"Rural"	"3"		
"Table 2.9 Household composition"	"Percent distribution of households by sex of head of household and by household size"	"percent"	"2014"	"Male"	"Rural"	"4"		
"Table 2.9 Household composition"	"Percent distribution of households by sex of head of household and by household size"	"percent"	"2014"	"Male"	"Rural"	"5"		
"Table 2.9 Household composition"	"Percent distribution of households by sex of head of household and by household size"	"percent"	"2014"	"Male"	"Rural"	"6"		
"Table 2.9 Household composition"	"Percent distribution of households by sex of head of household and by household size"	"percent"	"2014"	"Male"	"Rural"	"7"		
"Table 2.9 Household composition"	"Percent distribution of households by sex of head of household and by household size"	"percent"	"2014"	"Male"	"Rural"	"8"		
"Table 2.9 Household composition"	"Percent distribution of households by sex of head of household and by household size"	"percent"	"2014"	"Male"	"Rural"	"9+"		
"Table 2.9 Household composition"	"Percent distribution of households by sex of head of household and by household size"	"percent"	"2014"	"Male"	"Rural"	"Total"		
"Table 2.9 Household composition"	"Percent distribution of households by sex of head of household and by household size"	"percent"	"2014"	"Male"	"Total"	"0"		
"Table 2.9 Household composition"	"Percent distribution of households by sex of head of household and by household size"	"percent"	"2014"	"Male"	"Total"	"1"		
"Table 2.9 Household composition"	"Percent distribution of households by sex of head of household and by household size"	"percent"	"2014"	"Male"	"Total"	"2"		
"Table 2.9 Household composition"	"Percent distribution of households by sex of head of household and by household size"	"percent"	"2014"	"Male"	"Total"	"3"		
"Table 2.9 Household composition"	"Percent distribution of households by sex of head of household and by household size"	"percent"	"2014"	"Male"	"Total"	"4"		
"Table 2.9 Household composition"	"Percent distribution of households by sex of head of household and by household size"	"percent"	"2014"	"Male"	"Total"	"5"		
