"TableTitle"	"Variable"	"Units"	"Year"	"Residence"	"Possession"	"Value"	"Number.of.households"
"Table 2.4 Household possessions"	"Percentage of households possessing various household effects, means of transportation, agricultural land and livestock/farm animals, a dwelling, and land on which the dwelling is built"	"percent"	"2014"	"Rural"	"Animal drawn cart"		
"Table 2.4 Household possessions"	"Percentage of households possessing various household effects, means of transportation, agricultural land and livestock/farm animals, a dwelling, and land on which the dwelling is built"	"percent"	"2014"	"Rural"	"Bed"		
"Table 2.4 Household possessions"	"Percentage of households possessing various household effects, means of transportation, agricultural land and livestock/farm animals, a dwelling, and land on which the dwelling is built"	"percent"	"2014"	"Rural"	"Bicycle"		
"Table 2.4 Household possessions"	"Percentage of households possessing various household effects, means of transportation, agricultural land and livestock/farm animals, a dwelling, and land on which the dwelling is built"	"percent"	"2014"	"Rural"	"Boat with a motor"		
"Table 2.4 Household possessions"	"Percentage of households possessing various household effects, means of transportation, agricultural land and livestock/farm animals, a dwelling, and land on which the dwelling is built"	"percent"	"2014"	"Rural"	"Car/truck"		
"Table 2.4 Household possessions"	"Percentage of households possessing various household effects, means of transportation, agricultural land and livestock/farm animals, a dwelling, and land on which the dwelling is built"	"percent"	"2014"	"Rural"	"Cassette or CD player"		
"Table 2.4 Household possessions"	"Percentage of households possessing various household effects, means of transportation, agricultural land and livestock/farm animals, a dwelling, and land on which the dwelling is built"	"percent"	"2014"	"Rural"	"Chair"		
"Table 2.4 Household possessions"	"Percentage of households possessing various household effects, means of transportation, agricultural land and livestock/farm animals, a dwelling, and land on which the dwelling is built"	"percent"	"2014"	"Rural"	"Clock"		
"Table 2.4 Household possessions"	"Percentage of households possessing various household effects, means of transportation, agricultural land and livestock/farm animals, a dwelling, and land on which the dwelling is built"	"percent"	"2014"	"Rural"	"Cupboard"		
"Table 2.4 Household possessions"	"Percentage of households possessing various household effects, means of transportation, agricultural land and livestock/farm animals, a dwelling, and land on which the dwelling is built"	"percent"	"2014"	"Rural"	"DVD player"		
"Table 2.4 Household possessions"	"Percentage of households possessing various household effects, means of transportation, agricultural land and livestock/farm animals, a dwelling, and land on which the dwelling is built"	"percent"	"2014"	"Rural"	"Microwave oven"		
"Table 2.4 Household possessions"	"Percentage of households possessing various household effects, means of transportation, agricultural land and livestock/farm animals, a dwelling, and land on which the dwelling is built"	"percent"	"2014"	"Rural"	"Mobile telephone"		
"Table 2.4 Household possessions"	"Percentage of households possessing various household effects, means of transportation, agricultural land and livestock/farm animals, a dwelling, and land on which the dwelling is built"	"percent"	"2014"	"Rural"	"Motorcycle/scooter"		
"Table 2.4 Household possessions"	"Percentage of households possessing various household effects, means of transportation, agricultural land and livestock/farm animals, a dwelling, and land on which the dwelling is built"	"percent"	"2014"	"Rural"	"Non-mobile telephone"		
"Table 2.4 Household possessions"	"Percentage of households possessing various household effects, means of transportation, agricultural land and livestock/farm animals, a dwelling, and land on which the dwelling is built"	"percent"	"2014"	"Rural"	"Ownership of agricultural land"		
"Table 2.4 Household possessions"	"Percentage of households possessing various household effects, means of transportation, agricultural land and livestock/farm animals, a dwelling, and land on which the dwelling is built"	"percent"	"2014"	"Rural"	"Ownership of dwelling"		
"Table 2.4 Household possessions"	"Percentage of households possessing various household effects, means of transportation, agricultural land and livestock/farm animals, a dwelling, and land on which the dwelling is built"	"percent"	"2014"	"Rural"	"Ownership of farm animals"		
"Table 2.4 Household possessions"	"Percentage of households possessing various household effects, means of transportation, agricultural land and livestock/farm animals, a dwelling, and land on which the dwelling is built"	"percent"	"2014"	"Rural"	"Ownership of land on which dwelling is built"		
"Table 2.4 Household possessions"	"Percentage of households possessing various household effects, means of transportation, agricultural land and livestock/farm animals, a dwelling, and land on which the dwelling is built"	"percent"	"2014"	"Rural"	"Radio"		
"Table 2.4 Household possessions"	"Percentage of households possessing various household effects, means of transportation, agricultural land and livestock/farm animals, a dwelling, and land on which the dwelling is built"	"percent"	"2014"	"Rural"	"Refrigerator"		
"Table 2.4 Household possessions"	"Percentage of households possessing various household effects, means of transportation, agricultural land and livestock/farm animals, a dwelling, and land on which the dwelling is built"	"percent"	"2014"	"Rural"	"Sofa"		
"Table 2.4 Household possessions"	"Percentage of households possessing various household effects, means of transportation, agricultural land and livestock/farm animals, a dwelling, and land on which the dwelling is built"	"percent"	"2014"	"Rural"	"Solar panel"		
"Table 2.4 Household possessions"	"Percentage of households possessing various household effects, means of transportation, agricultural land and livestock/farm animals, a dwelling, and land on which the dwelling is built"	"percent"	"2014"	"Rural"	"Table"		
"Table 2.4 Household possessions"	"Percentage of households possessing various household effects, means of transportation, agricultural land and livestock/farm animals, a dwelling, and land on which the dwelling is built"	"percent"	"2014"	"Rural"	"Television"		
"Table 2.4 Household possessions"	"Percentage of households possessing various household effects, means of transportation, agricultural land and livestock/farm animals, a dwelling, and land on which the dwelling is built"	"percent"	"2014"	"Rural"	"Watch"		
"Table 2.4 Household possessions"	"Percentage of households possessing various household effects, means of transportation, agricultural land and livestock/farm animals, a dwelling, and land on which the dwelling is built"	"percent"	"2014"	"Total"	"Animal drawn cart"		
"Table 2.4 Household possessions"	"Percentage of households possessing various household effects, means of transportation, agricultural land and livestock/farm animals, a dwelling, and land on which the dwelling is built"	"percent"	"2014"	"Total"	"Bed"		
"Table 2.4 Household possessions"	"Percentage of households possessing various household effects, means of transportation, agricultural land and livestock/farm animals, a dwelling, and land on which the dwelling is built"	"percent"	"2014"	"Total"	"Bicycle"		
"Table 2.4 Household possessions"	"Percentage of households possessing various household effects, means of transportation, agricultural land and livestock/farm animals, a dwelling, and land on which the dwelling is built"	"percent"	"2014"	"Total"	"Boat with a motor"		
"Table 2.4 Household possessions"	"Percentage of households possessing various household effects, means of transportation, agricultural land and livestock/farm animals, a dwelling, and land on which the dwelling is built"	"percent"	"2014"	"Total"	"Car/truck"		
"Table 2.4 Household possessions"	"Percentage of households possessing various household effects, means of transportation, agricultural land and livestock/farm animals, a dwelling, and land on which the dwelling is built"	"percent"	"2014"	"Total"	"Cassette or CD player"		
"Table 2.4 Household possessions"	"Percentage of households possessing various household effects, means of transportation, agricultural land and livestock/farm animals, a dwelling, and land on which the dwelling is built"	"percent"	"2014"	"Total"	"Chair"		
"Table 2.4 Household possessions"	"Percentage of households possessing various household effects, means of transportation, agricultural land and livestock/farm animals, a dwelling, and land on which the dwelling is built"	"percent"	"2014"	"Total"	"Clock"		
"Table 2.4 Household possessions"	"Percentage of households possessing various household effects, means of transportation, agricultural land and livestock/farm animals, a dwelling, and land on which the dwelling is built"	"percent"	"2014"	"Total"	"Cupboard"		
"Table 2.4 Household possessions"	"Percentage of households possessing various household effects, means of transportation, agricultural land and livestock/farm animals, a dwelling, and land on which the dwelling is built"	"percent"	"2014"	"Total"	"DVD player"		
"Table 2.4 Household possessions"	"Percentage of households possessing various household effects, means of transportation, agricultural land and livestock/farm animals, a dwelling, and land on which the dwelling is built"	"percent"	"2014"	"Total"	"Microwave oven"		
"Table 2.4 Household possessions"	"Percentage of households possessing various household effects, means of transportation, agricultural land and livestock/farm animals, a dwelling, and land on which the dwelling is built"	"percent"	"2014"	"Total"	"Mobile telephone"		
"Table 2.4 Household possessions"	"Percentage of households possessing various household effects, means of transportation, agricultural land and livestock/farm animals, a dwelling, and land on which the dwelling is built"	"percent"	"2014"	"Total"	"Motorcycle/scooter"		
"Table 2.4 Household possessions"	"Percentage of households possessing various household effects, means of transportation, agricultural land and livestock/farm animals, a dwelling, and land on which the dwelling is built"	"percent"	"2014"	"Total"	"Non-mobile telephone"		
"Table 2.4 Household possessions"	"Percentage of households possessing various household effects, means of transportation, agricultural land and livestock/farm animals, a dwelling, and land on which the dwelling is built"	"percent"	"2014"	"Total"	"Ownership of agricultural land"		
