"TableTitle"	"Variable"	"Units"	"Year"	"Residence"	"Region"	"Wealth.quintle"	"Food.consumption.score.group"	"Value"	"Number.of.households.with.valid.food.consumption.score"
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Central"	"Fourth"	"Acceptable"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Central"	"Fourth"	"Borderline"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Central"	"Fourth"	"Poor"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Central"	"Fourth"	"Total"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Central"	"Highest"	"Acceptable"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Central"	"Highest"	"Borderline"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Central"	"Highest"	"Poor"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Central"	"Highest"	"Total"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Central"	"Lowest"	"Acceptable"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Central"	"Lowest"	"Borderline"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Central"	"Lowest"	"Poor"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Central"	"Lowest"	"Total"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Central"	"Middle"	"Acceptable"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Central"	"Middle"	"Borderline"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Central"	"Middle"	"Poor"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Central"	"Middle"	"Total"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Central"	"Second"	"Acceptable"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Central"	"Second"	"Borderline"		
"Table 2.6 Food security status"	"Percent distribution of households by food consumption score groups "	"percent"	"2014"	"Rural"	"Central"	"Second"	"Poor"		
