"TableTitle"	"Variable"	"Units"	"Year"	"Residence"	"Region"	"Wealth.quintle"	"Cleansing.agents.available"	"Value"	"Number.of.households.with.place.for.washing.hands.was.observed"
"Table 2.7 Hand washing"	"Percent distribution of households by availability of water, soap and other cleansing agents (among households where place for washing hands was observed)"	"percent"	"2014"	"Rural"	"Central"	"Fourth"	"Cleansing agent other than soap only"		
"Table 2.7 Hand washing"	"Percent distribution of households by availability of water, soap and other cleansing agents (among households where place for washing hands was observed)"	"percent"	"2014"	"Rural"	"Central"	"Fourth"	"no other cleansing agent"		
"Table 2.7 Hand washing"	"Percent distribution of households by availability of water, soap and other cleansing agents (among households where place for washing hands was observed)"	"percent"	"2014"	"Rural"	"Central"	"Fourth"	"no soap"		
"Table 2.7 Hand washing"	"Percent distribution of households by availability of water, soap and other cleansing agents (among households where place for washing hands was observed)"	"percent"	"2014"	"Rural"	"Central"	"Fourth"	"No water"		
"Table 2.7 Hand washing"	"Percent distribution of households by availability of water, soap and other cleansing agents (among households where place for washing hands was observed)"	"percent"	"2014"	"Rural"	"Central"	"Fourth"	"Soap and water"		
"Table 2.7 Hand washing"	"Percent distribution of households by availability of water, soap and other cleansing agents (among households where place for washing hands was observed)"	"percent"	"2014"	"Rural"	"Central"	"Fourth"	"Soap but no water"		
"Table 2.7 Hand washing"	"Percent distribution of households by availability of water, soap and other cleansing agents (among households where place for washing hands was observed)"	"percent"	"2014"	"Rural"	"Central"	"Fourth"	"Water and cleansing agent other than soap only"		
"Table 2.7 Hand washing"	"Percent distribution of households by availability of water, soap and other cleansing agents (among households where place for washing hands was observed)"	"percent"	"2014"	"Rural"	"Central"	"Fourth"	"Water only"		
"Table 2.7 Hand washing"	"Percent distribution of households by availability of water, soap and other cleansing agents (among households where place for washing hands was observed)"	"percent"	"2014"	"Rural"	"Central"	"Highest"	"Cleansing agent other than soap only"		
"Table 2.7 Hand washing"	"Percent distribution of households by availability of water, soap and other cleansing agents (among households where place for washing hands was observed)"	"percent"	"2014"	"Rural"	"Central"	"Highest"	"no other cleansing agent"		
"Table 2.7 Hand washing"	"Percent distribution of households by availability of water, soap and other cleansing agents (among households where place for washing hands was observed)"	"percent"	"2014"	"Rural"	"Central"	"Highest"	"no soap"		
"Table 2.7 Hand washing"	"Percent distribution of households by availability of water, soap and other cleansing agents (among households where place for washing hands was observed)"	"percent"	"2014"	"Rural"	"Central"	"Highest"	"No water"		
"Table 2.7 Hand washing"	"Percent distribution of households by availability of water, soap and other cleansing agents (among households where place for washing hands was observed)"	"percent"	"2014"	"Rural"	"Central"	"Highest"	"Soap and water"		
"Table 2.7 Hand washing"	"Percent distribution of households by availability of water, soap and other cleansing agents (among households where place for washing hands was observed)"	"percent"	"2014"	"Rural"	"Central"	"Highest"	"Soap but no water"		
"Table 2.7 Hand washing"	"Percent distribution of households by availability of water, soap and other cleansing agents (among households where place for washing hands was observed)"	"percent"	"2014"	"Rural"	"Central"	"Highest"	"Water and cleansing agent other than soap only"		
"Table 2.7 Hand washing"	"Percent distribution of households by availability of water, soap and other cleansing agents (among households where place for washing hands was observed)"	"percent"	"2014"	"Rural"	"Central"	"Highest"	"Water only"		
"Table 2.7 Hand washing"	"Percent distribution of households by availability of water, soap and other cleansing agents (among households where place for washing hands was observed)"	"percent"	"2014"	"Rural"	"Central"	"Lowest"	"Cleansing agent other than soap only"		
"Table 2.7 Hand washing"	"Percent distribution of households by availability of water, soap and other cleansing agents (among households where place for washing hands was observed)"	"percent"	"2014"	"Rural"	"Central"	"Lowest"	"no other cleansing agent"		
"Table 2.7 Hand washing"	"Percent distribution of households by availability of water, soap and other cleansing agents (among households where place for washing hands was observed)"	"percent"	"2014"	"Rural"	"Central"	"Lowest"	"no soap"		
"Table 2.7 Hand washing"	"Percent distribution of households by availability of water, soap and other cleansing agents (among households where place for washing hands was observed)"	"percent"	"2014"	"Rural"	"Central"	"Lowest"	"No water"		
"Table 2.7 Hand washing"	"Percent distribution of households by availability of water, soap and other cleansing agents (among households where place for washing hands was observed)"	"percent"	"2014"	"Rural"	"Central"	"Lowest"	"Soap and water"		
"Table 2.7 Hand washing"	"Percent distribution of households by availability of water, soap and other cleansing agents (among households where place for washing hands was observed)"	"percent"	"2014"	"Rural"	"Central"	"Lowest"	"Soap but no water"		
"Table 2.7 Hand washing"	"Percent distribution of households by availability of water, soap and other cleansing agents (among households where place for washing hands was observed)"	"percent"	"2014"	"Rural"	"Central"	"Lowest"	"Water and cleansing agent other than soap only"		
"Table 2.7 Hand washing"	"Percent distribution of households by availability of water, soap and other cleansing agents (among households where place for washing hands was observed)"	"percent"	"2014"	"Rural"	"Central"	"Lowest"	"Water only"		
"Table 2.7 Hand washing"	"Percent distribution of households by availability of water, soap and other cleansing agents (among households where place for washing hands was observed)"	"percent"	"2014"	"Rural"	"Central"	"Middle"	"Cleansing agent other than soap only"		
