"TableTitle"	"Variable"	"Units"	"Year"	"Residence"	"Region"	"Value"	"Number.of.persons"
"Table 2.5 Wealth quintiles"	"Gini Coefficient for distribution of wealth"	"index [0-1]"	"2014"	"Rural"	"Central"		
"Table 2.5 Wealth quintiles"	"Gini Coefficient for distribution of wealth"	"index [0-1]"	"2014"	"Rural"	"Coast"		
"Table 2.5 Wealth quintiles"	"Gini Coefficient for distribution of wealth"	"index [0-1]"	"2014"	"Rural"	"Eastern"		
"Table 2.5 Wealth quintiles"	"Gini Coefficient for distribution of wealth"	"index [0-1]"	"2014"	"Rural"	"Nairobi"		
"Table 2.5 Wealth quintiles"	"Gini Coefficient for distribution of wealth"	"index [0-1]"	"2014"	"Rural"	"North Eastern"		
"Table 2.5 Wealth quintiles"	"Gini Coefficient for distribution of wealth"	"index [0-1]"	"2014"	"Rural"	"Nyanza"		
"Table 2.5 Wealth quintiles"	"Gini Coefficient for distribution of wealth"	"index [0-1]"	"2014"	"Rural"	"Rift Valley"		
"Table 2.5 Wealth quintiles"	"Gini Coefficient for distribution of wealth"	"index [0-1]"	"2014"	"Rural"	"Total"		
"Table 2.5 Wealth quintiles"	"Gini Coefficient for distribution of wealth"	"index [0-1]"	"2014"	"Rural"	"Western"		
"Table 2.5 Wealth quintiles"	"Gini Coefficient for distribution of wealth"	"index [0-1]"	"2014"	"Total"	"Central"		
"Table 2.5 Wealth quintiles"	"Gini Coefficient for distribution of wealth"	"index [0-1]"	"2014"	"Total"	"Coast"		
"Table 2.5 Wealth quintiles"	"Gini Coefficient for distribution of wealth"	"index [0-1]"	"2014"	"Total"	"Eastern"		
"Table 2.5 Wealth quintiles"	"Gini Coefficient for distribution of wealth"	"index [0-1]"	"2014"	"Total"	"Nairobi"		
"Table 2.5 Wealth quintiles"	"Gini Coefficient for distribution of wealth"	"index [0-1]"	"2014"	"Total"	"North Eastern"		
"Table 2.5 Wealth quintiles"	"Gini Coefficient for distribution of wealth"	"index [0-1]"	"2014"	"Total"	"Nyanza"		
"Table 2.5 Wealth quintiles"	"Gini Coefficient for distribution of wealth"	"index [0-1]"	"2014"	"Total"	"Rift Valley"		
"Table 2.5 Wealth quintiles"	"Gini Coefficient for distribution of wealth"	"index [0-1]"	"2014"	"Total"	"Total"		
"Table 2.5 Wealth quintiles"	"Gini Coefficient for distribution of wealth"	"index [0-1]"	"2014"	"Total"	"Western"		
"Table 2.5 Wealth quintiles"	"Gini Coefficient for distribution of wealth"	"index [0-1]"	"2014"	"Urban"	"Central"		
"Table 2.5 Wealth quintiles"	"Gini Coefficient for distribution of wealth"	"index [0-1]"	"2014"	"Urban"	"Coast"		
"Table 2.5 Wealth quintiles"	"Gini Coefficient for distribution of wealth"	"index [0-1]"	"2014"	"Urban"	"Eastern"		
"Table 2.5 Wealth quintiles"	"Gini Coefficient for distribution of wealth"	"index [0-1]"	"2014"	"Urban"	"Nairobi"		
"Table 2.5 Wealth quintiles"	"Gini Coefficient for distribution of wealth"	"index [0-1]"	"2014"	"Urban"	"North Eastern"		
"Table 2.5 Wealth quintiles"	"Gini Coefficient for distribution of wealth"	"index [0-1]"	"2014"	"Urban"	"Nyanza"		
"Table 2.5 Wealth quintiles"	"Gini Coefficient for distribution of wealth"	"index [0-1]"	"2014"	"Urban"	"Rift Valley"		
"Table 2.5 Wealth quintiles"	"Gini Coefficient for distribution of wealth"	"index [0-1]"	"2014"	"Urban"	"Total"		
"Table 2.5 Wealth quintiles"	"Gini Coefficient for distribution of wealth"	"index [0-1]"	"2014"	"Urban"	"Western"		
