"TableTitle"	"Variable"	"Units"	"Year"	"Residence"	"Person.who.usually.collects.drinking.water"	"Value"	"de.jure.population"
"Table 2.1 Household drinking water"	"Percent distribution of de jure population by person who usually collects drinking water"	"percent"	"2014"	"Rural"	"Adult female 15+"		
"Table 2.1 Household drinking water"	"Percent distribution of de jure population by person who usually collects drinking water"	"percent"	"2014"	"Rural"	"Adult male 15+"		
"Table 2.1 Household drinking water"	"Percent distribution of de jure population by person who usually collects drinking water"	"percent"	"2014"	"Rural"	"Female child under age 15"		
"Table 2.1 Household drinking water"	"Percent distribution of de jure population by person who usually collects drinking water"	"percent"	"2014"	"Rural"	"Male child under age 15"		
"Table 2.1 Household drinking water"	"Percent distribution of de jure population by person who usually collects drinking water"	"percent"	"2014"	"Rural"	"Other"		
"Table 2.1 Household drinking water"	"Percent distribution of de jure population by person who usually collects drinking water"	"percent"	"2014"	"Rural"	"Total"		
"Table 2.1 Household drinking water"	"Percent distribution of de jure population by person who usually collects drinking water"	"percent"	"2014"	"Rural"	"Water on premises"		
"Table 2.1 Household drinking water"	"Percent distribution of de jure population by person who usually collects drinking water"	"percent"	"2014"	"Total"	"Adult female 15+"		
"Table 2.1 Household drinking water"	"Percent distribution of de jure population by person who usually collects drinking water"	"percent"	"2014"	"Total"	"Adult male 15+"		
"Table 2.1 Household drinking water"	"Percent distribution of de jure population by person who usually collects drinking water"	"percent"	"2014"	"Total"	"Female child under age 15"		
"Table 2.1 Household drinking water"	"Percent distribution of de jure population by person who usually collects drinking water"	"percent"	"2014"	"Total"	"Male child under age 15"		
"Table 2.1 Household drinking water"	"Percent distribution of de jure population by person who usually collects drinking water"	"percent"	"2014"	"Total"	"Other"		
"Table 2.1 Household drinking water"	"Percent distribution of de jure population by person who usually collects drinking water"	"percent"	"2014"	"Total"	"Total"		
"Table 2.1 Household drinking water"	"Percent distribution of de jure population by person who usually collects drinking water"	"percent"	"2014"	"Total"	"Water on premises"		
"Table 2.1 Household drinking water"	"Percent distribution of de jure population by person who usually collects drinking water"	"percent"	"2014"	"Urban"	"Adult female 15+"		
"Table 2.1 Household drinking water"	"Percent distribution of de jure population by person who usually collects drinking water"	"percent"	"2014"	"Urban"	"Adult male 15+"		
"Table 2.1 Household drinking water"	"Percent distribution of de jure population by person who usually collects drinking water"	"percent"	"2014"	"Urban"	"Female child under age 15"		
"Table 2.1 Household drinking water"	"Percent distribution of de jure population by person who usually collects drinking water"	"percent"	"2014"	"Urban"	"Male child under age 15"		
"Table 2.1 Household drinking water"	"Percent distribution of de jure population by person who usually collects drinking water"	"percent"	"2014"	"Urban"	"Other"		
"Table 2.1 Household drinking water"	"Percent distribution of de jure population by person who usually collects drinking water"	"percent"	"2014"	"Urban"	"Total"		
"Table 2.1 Household drinking water"	"Percent distribution of de jure population by person who usually collects drinking water"	"percent"	"2014"	"Urban"	"Water on premises"		
