"TableTitle"	"Variable"	"Units"	"Year"	"Age.group"	"Sex"	"Education.level"	"Residence"	"Region"	"Wealth.quintle"	"Value"
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Rural"	"Central"	"Fourth"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Rural"	"Central"	"Highest"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Rural"	"Central"	"Lowest"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Rural"	"Central"	"Middle"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Rural"	"Central"	"Second"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Rural"	"Central"	"Total"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Rural"	"Coast"	"Fourth"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Rural"	"Coast"	"Highest"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Rural"	"Coast"	"Lowest"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Rural"	"Coast"	"Middle"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Rural"	"Coast"	"Second"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Rural"	"Coast"	"Total"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Rural"	"Eastern"	"Fourth"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Rural"	"Eastern"	"Highest"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Rural"	"Eastern"	"Lowest"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Rural"	"Eastern"	"Middle"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Rural"	"Eastern"	"Second"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Rural"	"Eastern"	"Total"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Rural"	"Nairobi"	"Fourth"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Rural"	"Nairobi"	"Highest"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Rural"	"Nairobi"	"Lowest"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Rural"	"Nairobi"	"Middle"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Rural"	"Nairobi"	"Second"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Rural"	"Nairobi"	"Total"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Rural"	"North Eastern"	"Fourth"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Rural"	"North Eastern"	"Highest"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Rural"	"North Eastern"	"Lowest"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Rural"	"North Eastern"	"Middle"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Rural"	"North Eastern"	"Second"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Rural"	"North Eastern"	"Total"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Rural"	"Nyanza"	"Fourth"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Rural"	"Nyanza"	"Highest"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Rural"	"Nyanza"	"Lowest"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Rural"	"Nyanza"	"Middle"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Rural"	"Nyanza"	"Second"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Rural"	"Nyanza"	"Total"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Rural"	"Rift Valley"	"Fourth"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Rural"	"Rift Valley"	"Highest"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Rural"	"Rift Valley"	"Lowest"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Rural"	"Rift Valley"	"Middle"	
"Table 2.14 School attendance ratios"	"Net school attendance ratio (NAR) for the de facto household population"	"percent"	"2014"	"14-17"	"Female"	"Primary"	"Rural"	"Rift Valley"	"Second"	
