"TableTitle"	"Variable"	"Units"	"Year"	"Residence"	"Source.of.drinking.water"	"Value"	"Number.of.households"
"Table 2.1 Household drinking water"	"Percent distribution of households by source of drinking water"	"percent"	"2014"	"Rural"	"Bottled water"		
"Table 2.1 Household drinking water"	"Percent distribution of households by source of drinking water"	"percent"	"2014"	"Rural"	"Improved source"		
"Table 2.1 Household drinking water"	"Percent distribution of households by source of drinking water"	"percent"	"2014"	"Rural"	"Non-improved source"		
"Table 2.1 Household drinking water"	"Percent distribution of households by source of drinking water"	"percent"	"2014"	"Rural"	"Other"		
"Table 2.1 Household drinking water"	"Percent distribution of households by source of drinking water"	"percent"	"2014"	"Rural"	"Piped water into dwelling/yard/plot"		
"Table 2.1 Household drinking water"	"Percent distribution of households by source of drinking water"	"percent"	"2014"	"Rural"	"Protected spring"		
"Table 2.1 Household drinking water"	"Percent distribution of households by source of drinking water"	"percent"	"2014"	"Rural"	"Protected well"		
"Table 2.1 Household drinking water"	"Percent distribution of households by source of drinking water"	"percent"	"2014"	"Rural"	"Public tap/standpipe"		
"Table 2.1 Household drinking water"	"Percent distribution of households by source of drinking water"	"percent"	"2014"	"Rural"	"Rain water"		
"Table 2.1 Household drinking water"	"Percent distribution of households by source of drinking water"	"percent"	"2014"	"Rural"	"Surface water"		
"Table 2.1 Household drinking water"	"Percent distribution of households by source of drinking water"	"percent"	"2014"	"Rural"	"Tanker truck/cart with drum"		
"Table 2.1 Household drinking water"	"Percent distribution of households by source of drinking water"	"percent"	"2014"	"Rural"	"Total"		
"Table 2.1 Household drinking water"	"Percent distribution of households by source of drinking water"	"percent"	"2014"	"Rural"	"Tube well or borehole"		
"Table 2.1 Household drinking water"	"Percent distribution of households by source of drinking water"	"percent"	"2014"	"Rural"	"Unprotected spring"		
"Table 2.1 Household drinking water"	"Percent distribution of households by source of drinking water"	"percent"	"2014"	"Rural"	"Unprotected well"		
"Table 2.1 Household drinking water"	"Percent distribution of households by source of drinking water"	"percent"	"2014"	"Total"	"Bottled water"		
"Table 2.1 Household drinking water"	"Percent distribution of households by source of drinking water"	"percent"	"2014"	"Total"	"Improved source"		
"Table 2.1 Household drinking water"	"Percent distribution of households by source of drinking water"	"percent"	"2014"	"Total"	"Non-improved source"		
"Table 2.1 Household drinking water"	"Percent distribution of households by source of drinking water"	"percent"	"2014"	"Total"	"Other"		
"Table 2.1 Household drinking water"	"Percent distribution of households by source of drinking water"	"percent"	"2014"	"Total"	"Piped water into dwelling/yard/plot"		
"Table 2.1 Household drinking water"	"Percent distribution of households by source of drinking water"	"percent"	"2014"	"Total"	"Protected spring"		
"Table 2.1 Household drinking water"	"Percent distribution of households by source of drinking water"	"percent"	"2014"	"Total"	"Protected well"		
"Table 2.1 Household drinking water"	"Percent distribution of households by source of drinking water"	"percent"	"2014"	"Total"	"Public tap/standpipe"		
"Table 2.1 Household drinking water"	"Percent distribution of households by source of drinking water"	"percent"	"2014"	"Total"	"Rain water"		
"Table 2.1 Household drinking water"	"Percent distribution of households by source of drinking water"	"percent"	"2014"	"Total"	"Surface water"		
"Table 2.1 Household drinking water"	"Percent distribution of households by source of drinking water"	"percent"	"2014"	"Total"	"Tanker truck/cart with drum"		
"Table 2.1 Household drinking water"	"Percent distribution of households by source of drinking water"	"percent"	"2014"	"Total"	"Total"		
"Table 2.1 Household drinking water"	"Percent distribution of households by source of drinking water"	"percent"	"2014"	"Total"	"Tube well or borehole"		
"Table 2.1 Household drinking water"	"Percent distribution of households by source of drinking water"	"percent"	"2014"	"Total"	"Unprotected spring"		
"Table 2.1 Household drinking water"	"Percent distribution of households by source of drinking water"	"percent"	"2014"	"Total"	"Unprotected well"		
"Table 2.1 Household drinking water"	"Percent distribution of households by source of drinking water"	"percent"	"2014"	"Urban"	"Bottled water"		
"Table 2.1 Household drinking water"	"Percent distribution of households by source of drinking water"	"percent"	"2014"	"Urban"	"Improved source"		
"Table 2.1 Household drinking water"	"Percent distribution of households by source of drinking water"	"percent"	"2014"	"Urban"	"Non-improved source"		
"Table 2.1 Household drinking water"	"Percent distribution of households by source of drinking water"	"percent"	"2014"	"Urban"	"Other"		
"Table 2.1 Household drinking water"	"Percent distribution of households by source of drinking water"	"percent"	"2014"	"Urban"	"Piped water into dwelling/yard/plot"		
"Table 2.1 Household drinking water"	"Percent distribution of households by source of drinking water"	"percent"	"2014"	"Urban"	"Protected spring"		
"Table 2.1 Household drinking water"	"Percent distribution of households by source of drinking water"	"percent"	"2014"	"Urban"	"Protected well"		
"Table 2.1 Household drinking water"	"Percent distribution of households by source of drinking water"	"percent"	"2014"	"Urban"	"Public tap/standpipe"		
"Table 2.1 Household drinking water"	"Percent distribution of households by source of drinking water"	"percent"	"2014"	"Urban"	"Rain water"		
"Table 2.1 Household drinking water"	"Percent distribution of households by source of drinking water"	"percent"	"2014"	"Urban"	"Surface water"		
"Table 2.1 Household drinking water"	"Percent distribution of households by source of drinking water"	"percent"	"2014"	"Urban"	"Tanker truck/cart with drum"		
"Table 2.1 Household drinking water"	"Percent distribution of households by source of drinking water"	"percent"	"2014"	"Urban"	"Total"		
"Table 2.1 Household drinking water"	"Percent distribution of households by source of drinking water"	"percent"	"2014"	"Urban"	"Tube well or borehole"		
"Table 2.1 Household drinking water"	"Percent distribution of households by source of drinking water"	"percent"	"2014"	"Urban"	"Unprotected spring"		
"Table 2.1 Household drinking water"	"Percent distribution of households by source of drinking water"	"percent"	"2014"	"Urban"	"Unprotected well"		
