DimStart	DimEnd	AttrStart	AttrEnd	TableTitle	TableSubTitle	Variable	Variable description	Units	Year	Age group	Sex	Sex of household headship	Education level	Residence	Region	Wealth quintle	Source of drinking water	Time to obtain drinking water (round trip)	Water treatment prior to drinking	Person who usually collects drinking water	Type of toilet/latrine facility	Electricity	Flooring material	Rooms used for sleeping	Place of cooking	Cooking fuel	Frequency of smoking in the home	Possession	Food consumption score group	Cleansing agents available	Household size (number of usual members)	Category of household by orphan/foster children members under 18 years of age	Possession of birth certificate	Survival status of parents and children living arrangements	Number of households	de jure population	Number of persons	Number of households with valid food consumption score	Number of households with total coping strategy index greater than zero	Number of households with place for washing hands was observed	Number of children
10	35	36	42	Table 2.1 Household drinking water	Percent distribution of households and de jure population by source of drinking water, time to obtain drinking water, treatment of drinking water, and person who usually collects drinking water, according to residence, Kenya 2014	Percent distribution of households by source of drinking water		percent	[2014]					[Urban, Rural, Total]			[Improved source,Piped water into dwelling/yard/plot,Public tap/standpipe,Tube well or borehole,Protected well,Protected spring,Rain water,Bottled water,Non-improved source,Unprotected well,Unprotected spring,Tanker truck/cart with drum,Surface water,Other,Total]																		{integer}						
10	35	36	42	Table 2.1 Household drinking water	Percent distribution of households and de jure population by source of drinking water, time to obtain drinking water, treatment of drinking water, and person who usually collects drinking water, according to residence, Kenya 2014	Percent distribution of households by time to obtain drinking water		percent	[2014]					[Urban, Rural, Total]				[Water on premises,Less than 30 minutes,30 minutes or longer,Don’t know/missing,Total]																	{integer}						
10	35	36	42	Table 2.1 Household drinking water	Percent distribution of households and de jure population by source of drinking water, time to obtain drinking water, treatment of drinking water, and person who usually collects drinking water, according to residence, Kenya 2014	Percent distribution of households by treatment of drinking water		percent	[2014]					[Urban, Rural, Total]					[Boiled, Bleach/chlorine added, Strained through cloth, Ceramic, sand or other filter, Solar disinfection, Other, No treatment]																{integer}						
10	35	36	42	Table 2.1 Household drinking water	Percent distribution of households and de jure population by source of drinking water, time to obtain drinking water, treatment of drinking water, and person who usually collects drinking water, according to residence, Kenya 2014	Percentage of households using an appropriate treatment method	Appropriate water treatment methods include boiling, bleaching/adding chlorine, filtering/straining, and solar disinfecting.	percent	[2014]					[Urban, Rural, Total]																					{integer}						
10	35	36	42	Table 2.1 Household drinking water	Percent distribution of households and de jure population by source of drinking water, time to obtain drinking water, treatment of drinking water, and person who usually collects drinking water, according to residence, Kenya 2014	Percent distribution of households by person who usually collects drinking water		percent	[2014]					[Urban, Rural, Total]						[Adult female 15+ ,Adult male 15+ ,Female child under age 15,Male child under age 15,Other,Water on premises,Total]															{integer}						
10	35	36	42	Table 2.1 Household drinking water	Percent distribution of households and de jure population by source of drinking water, time to obtain drinking water, treatment of drinking water, and person who usually collects drinking water, according to residence, Kenya 2014	Percent distribution of de jure population by source of drinking water		percent	[2014]					[Urban, Rural, Total]			[Improved source,Piped water into dwelling/yard/plot,Public tap/standpipe,Tube well or borehole,Protected well,Protected spring,Rain water,Bottled water,Non-improved source,Unprotected well,Unprotected spring,Tanker truck/cart with drum,Surface water,Other,Total]																			{integer}					
10	35	36	42	Table 2.1 Household drinking water	Percent distribution of households and de jure population by source of drinking water, time to obtain drinking water, treatment of drinking water, and person who usually collects drinking water, according to residence, Kenya 2014	Percent distribution of de jure population by time to obtain drinking water		percent	[2014]					[Urban, Rural, Total]				[Water on premises,Less than 30 minutes,30 minutes or longer,Don’t know/missing,Total]																		{integer}					
10	35	36	42	Table 2.1 Household drinking water	Percent distribution of households and de jure population by source of drinking water, time to obtain drinking water, treatment of drinking water, and person who usually collects drinking water, according to residence, Kenya 2014	Percent distribution of de jure population by treatment of drinking water		percent	[2014]					[Urban, Rural, Total]					[Boiled, Bleach/chlorine added, Strained through cloth, Ceramic, sand or other filter, Solar disinfection, Other, No treatment]																	{integer}					
10	35	36	42	Table 2.1 Household drinking water	Percent distribution of households and de jure population by source of drinking water, time to obtain drinking water, treatment of drinking water, and person who usually collects drinking water, according to residence, Kenya 2014	Percentage of de jure population using an appropriate treatment method	Appropriate water treatment methods include boiling, bleaching/adding chlorine, filtering/straining, and solar disinfecting.	percent	[2014]					[Urban, Rural, Total]																						{integer}					
10	35	36	42	Table 2.1 Household drinking water	Percent distribution of households and de jure population by source of drinking water, time to obtain drinking water, treatment of drinking water, and person who usually collects drinking water, according to residence, Kenya 2014	Percent distribution of de jure population by person who usually collects drinking water		percent	[2014]					[Urban, Rural, Total]						[Adult female 15+ ,Adult male 15+ ,Female child under age 15,Male child under age 15,Other,Water on premises,Total]																{integer}					
